listing_id,survey_year,directory_year,state,state_fips,region,county_fips,ownership_group,center_types,care_settings,all_codes,accepts_medicaid,accepts_medicare,accepts_private_insurance,center_type_substance_use,center_type_detoxification,center_type_transitional_housing,center_type_mental_health,center_type_cooccurring,setting_outpatient,setting_residential,setting_hospital,service_otp,service_methadone,service_buprenorphine,service_naltrexone,service_telehealth,otp_available,year_qa_status,has_parser_warning,geocode_method,geocode_confidence
Le14ab376c7425a9,2016,2017,AL,01,South,01067,,SA|MH,OP|ORT,ACC ACM ADLT AH ANG AOSS BABA CBT CHLD CJ CM CMHA CO CSAA DAUT DP DV FEM FSA GCO GL HAEC HEOH HV ICO ISC MALE MC MCO MD MH MHS MI MN MOA MOTI MPD MXM NXN OP ORT PI PVT PW REBT RELP SA SACA SAE SAF SE SF SI SMHD SMPD SS SSA SSD STAG STMH TAEC TAY TBS TRC TRMA TWFA VET VTRL WN XA YAD|SA|MH|OP|ORT|NXN|VTRL,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,not_reviewed,FALSE,zip_crosswalk,low
L561cd97457edf0f,2016,2017,AL,01,South,01117,,SA,OP|OIT|OMB|ORT,ACC ACM ACU ADD ADLT ADM AH ANG AOSS BABA BIA BMO BMW BU BUM CARF CBT CJ CMHA CMI CO CSAA DAUT DBT DP DSF DU DV DVFP EIH EMP FCO FEM GCO GL HAEC HIVT HV ICO ISC MALE MCO MD METH MF MHS MM MMW MN MOTI MPD MXM NXN OIT OMB OP OPC ORT OTP OTPA PI PVT PW REBT RELP RPN SA SACA SAE SAF SE SF SHB SHC SHG SMHD SMPD SP SS SSA SSD STAG STDT STMH TAEC TAY TBS TCC TGD TID TRC TRMA TWFA VET VTRL WN XA YAD|SA|OP|OIT|OMB|ORT|BU|OTP|MM|BUM|NXN|VTRL,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,not_reviewed,FALSE,zip_crosswalk,low
L61c4f373b0f02bc,2016,2017,AL,01,South,01123,,SA|HH,RES|RL,ACC ADLT ANG AOSS CBT DP FCO FSA GCO HAEC HH ICO MALE MN MOA MOTI PVT REBT RELP RES RL SA SACA SAE SAF SF SHG SMPD STAG STMH TA TBS TWFA YAD|SA|HH|RES|RL|,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,not_reviewed,FALSE,zip_crosswalk,low
L6cae385b5602f58,2016,2017,AL,01,South,01015,,SA|HH,RES|RL,ACC ADLT AH ANG BABA BIA CBT CM CMI CSAA DAUT DBT DP EMP FCO FSA GCO HAEC HH ICO ISC MALE MCO MN MOA MOTI OPC PEER PVT REBT RELP RES RL SA SACA SAE SAF SF SMPD SSA SSD STAG STMH TCC TRC TWFA YAD|SA|HH|RES|RL|,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,not_reviewed,FALSE,zip_crosswalk,low
Le4da70f62bab64e,2016,2017,AL,01,South,01015,,SA,"",ACC ADLT ANG BABA CBT CM CMI CSAA DAUT DP EIH FCO FEM FSA GCO HAEC HIVT ICO ISC MALE MCO MHS MXM NMOA NP OPC RELP SA SACA SAE SAF SHG SMHD SMPD SSA SSD TA TAEC TWFA VTRL YAD|SA||VTRL,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,not_reviewed,TRUE,zip_crosswalk,low
L1e41f27c269b28a,2016,2017,AL,01,South,01083,,SA,OP|OIT|ORT,ACC ADLT ANG BIA CBT CM CMI CSAA DAUT DBT DP DVFP EIH FCO FEM FSA GCO HAEC HEOH ICO ISC MALE MCO MHS MOA MOTI MXM OIT OP OPC ORT PI PVT REBT RELP SA SACA SAE SAF SF SMHD SMPD SS SSA SSD TAEC TRC TWFA YAD|SA|OP|OIT|ORT|,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,not_reviewed,FALSE,zip_crosswalk,low
Lf85c6c94e7ae4c5,2016,2017,AL,01,South,01055,,SA|MH,OP|OIT|ORT,ACC ADLT AH ANG AOSS BABA BIA CBT CM CMHA CSAA DAUT DBT DP EIH FCO FEM FSA GCO HAEC HEOH HIVT ICO ISC MALE MCO MD MH MHS MI MOA MOTI MPD MXM OIT OP OPC ORT PEER PI PVT REBT RELP SA SACA SAE SAF SF SMHD SMPD SS SSA SSD STAG STMH TA TAEC TCC TRC TWFA YAD|SA|MH|OP|OIT|ORT|,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,not_reviewed,FALSE,zip_crosswalk,low
L98d1db468500fdb,2016,2017,AL,01,South,01055,,SA,OP|OIT|ORT,ACC ADLT ANG BABA BIA CBT CM CMI CSAA DAUT DBT DP DVFP EMP FCO FEM GCO ICO ISC MALE MCO MOA MOTI MXM OIT OP ORT PI PVT REBT RELP SA SACA SAE SAF SF SMHD SMPD SS SSA TWFA YAD|SA|OP|OIT|ORT|,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,not_reviewed,FALSE,zip_crosswalk,low
L1e32d525351526b,2016,2017,AL,01,South,01055,,SA|HH,"",ACC ADLT ANG AOSS BIA CBT CM CSAA DAUT DP DVFP EIH EMP FCO FSA GCO HAEC HH HS ICO ISC MALE MCO MHS MN MOA MOTI MXM OPC PEER PI PVT REBT RELP SA SACA SAE SAF SF SHG SSA SSD STAG STMH TA TCC TWFA YAD|SA|HH||,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,not_reviewed,FALSE,zip_crosswalk,low
L6d29ea8c9ef9000,2016,2017,AL,01,South,01073,,SA|DT,OP|OMB|ORT,ACC ADLT ANG AOSS BIA CBT CM CMHA CMI CSAA DAUT DBT DM DP DT DV DVFP EIH EMP FCO FEM GCO HAEC HEOH HS HV ICO ISC MALE MCO METH MHS MM MMW MN MO MOTI MXM OMB OP OPC ORT OTP OTPA PEER REBT RELP SA SACA SAE SAF SHG SMHD SMPD SSA SSD STDT TAEC TAY TBS TRC TRMA TWFA XA YAD|SA|DT|OP|OMB|ORT|OTP|MM|DM,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,TRUE,not_reviewed,FALSE,zip_crosswalk,low
