listing_id,survey_year,directory_year,state,state_fips,region,county_fips,ownership_group,center_types,care_settings,all_codes,accepts_medicaid,accepts_medicare,accepts_private_insurance,center_type_substance_use,center_type_detoxification,center_type_transitional_housing,center_type_mental_health,center_type_cooccurring,setting_outpatient,setting_residential,setting_hospital,service_otp,service_methadone,service_buprenorphine,service_naltrexone,service_telehealth,otp_available,year_qa_status,has_parser_warning,geocode_method,geocode_confidence
L59a47fa7405ffca,1999,2000,AL,01,South,01123,,SA|TX|HH,"",HH OA RR SA SS TX|SA|TX|HH||,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,,,,,,FALSE,not_reviewed,FALSE,census_batch,high
La5618190f9fa204,1999,2000,AL,01,South,01015,,SA,"",CJ OA RR SA SS|SA||,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,,FALSE,not_reviewed,FALSE,zip_crosswalk,low
Lbff7bcca1ab792b,1999,2000,AL,01,South,01015,,SA|TX,"",AD DD DU MI PI SA SS TX|SA|TX||,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,,FALSE,not_reviewed,FALSE,census_batch,high
L99ef8630eca1b99,1999,2000,AL,01,South,01073,,SA|TX|DT,OP,DT HV MD OA OP OW RR SA SS TX|SA|TX|DT|OP|,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,,,,,FALSE,not_reviewed,FALSE,census_batch,high
L616ff7eaaf9155f,1999,2000,AL,01,South,01073,,SA,OP,MD OP PL PW RR SA|SA|OP|,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,,,,,FALSE,not_reviewed,FALSE,census_batch,high
L245b75a1cf9eb4c,1999,2000,AL,01,South,01073,,"",OP|PH,DD OA OP PH SS||OP|PH|,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,,,,,FALSE,not_reviewed,FALSE,census_batch,high
L8adae44c8d2cad7,1999,2000,AL,01,South,01073,,SA|TX,OP,ML OP SA TX|SA|TX|OP|,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,,,,,FALSE,not_reviewed,FALSE,census_batch,high
L39189ea333ad618,1999,2000,AL,01,South,01073,,SA|TX,OP,AD MI OA OP PI SA SS TX|SA|TX|OP|,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,,,,,FALSE,not_reviewed,FALSE,census_batch,high
L373aba86877afbe,1999,2000,AL,01,South,01073,,TX,OP,DD MH-SA OP OW TX|TX|OP|,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,,,,,FALSE,not_reviewed,FALSE,census_batch,high
L70bd62475411403,1999,2000,AL,01,South,01073,,SA|TX,OP,DD MC OP OW RR SA SS TX|SA|TX|OP|,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,,,,,FALSE,not_reviewed,FALSE,census_batch,high
