listing_id,directory_year,survey_year,state,state_fips,census_region,census_division,has_warning,county_fips,geocode_method,geocode_confidence,ownership,center_type,setting,payment,service_family,ownership_mask,center_type_mask,setting_mask,payment_mask,service_family_mask,service_codes
L9f452dd3f65e8ab,2009,2008,AL,01,South,East South Central,False,01067,zip_crosswalk,low,,substance_use,outpatient,medicaid|military_insurance|private_insurance|self_pay|state_financed,substance_use_treatment|outpatient_treatment,0,1,1,62,17,AH|MD|MI|OP|PI|SA|SF|SI|TX
L067e4be335ead10,2009,2008,AL,01,South,East South Central,False,01117,zip_crosswalk,low,,substance_use|detoxification,outpatient|hospital_inpatient,private_insurance|self_pay|state_financed,substance_use_treatment|detoxification|outpatient_treatment|hospital_inpatient|methadone|buprenorphine,0,3,5,56,851,AH|BU|DM|DT|DU|HI|MM|OP|PH|PI|PW|SA|SF|SI|SP|TX
Le32ccf06691f5bb,2009,2008,AL,01,South,East South Central,False,01123,zip_crosswalk,low,,substance_use|transitional_housing,residential,self_pay,substance_use_treatment|transitional_housing|residential_treatment,0,5,2,16,37,HH|MN|RL|SA|SF|TX
Lb81fbea0fd689f2,2009,2008,AL,01,South,East South Central,False,01015,zip_crosswalk,low,,substance_use|transitional_housing,residential,self_pay,substance_use_treatment|transitional_housing|residential_treatment,0,5,2,16,37,HH|MN|RL|SA|SF|TX
Ldf9a89015867001,2009,2008,AL,01,South,East South Central,False,01015,zip_crosswalk,low,,substance_use,outpatient,private_insurance|self_pay,substance_use_treatment|outpatient_treatment,0,1,1,24,17,AD|MN|OP|PI|SA|SF|TX|WN
La346648c2076aaa,2009,2008,AL,01,South,East South Central,False,01015,zip_crosswalk,low,,substance_use,outpatient,medicaid|military_insurance|private_insurance|self_pay|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,158,17,CO|DU|MD|MH-SA|MI|OP|PH|PI|SF|SS|TX
L5d7097af4465802,2009,2008,AL,01,South,East South Central,False,01115,zip_crosswalk,low,,substance_use,outpatient,medicaid|military_insurance|private_insurance|self_pay|state_financed|payment_assistance|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,254,17,AD|AH|MD|MI|OP|PA|PI|SA|SF|SI|SS|TX
La9f82c71c3644f8,2009,2008,AL,01,South,East South Central,False,01055,zip_crosswalk,low,,substance_use|transitional_housing,outpatient|residential,self_pay,substance_use_treatment|transitional_housing|outpatient_treatment|residential_treatment,0,5,3,16,53,HH|OP|RL|RS|SA|SF|TX
Ld341ccb40c59656,2009,2008,AL,01,South,East South Central,True,01055,zip_crosswalk,low,,substance_use,outpatient,self_pay,substance_use_treatment|outpatient_treatment,0,1,1,16,17,CJ|OP|SA|SF|TX
Lde417730fcc9584,2009,2008,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification,outpatient,private_insurance|self_pay|state_financed,substance_use_treatment|detoxification|outpatient_treatment,0,3,1,56,19,AD|AH|DT|OP|PI|SA|SF|SI|TX
L913dc4c9961b4de,2009,2008,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,self_pay,substance_use_treatment|outpatient_treatment|methadone,0,1,1,16,273,MM|OP|PW|SA|SF|TX
Lbb1356e5caae1ec,2009,2008,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification,residential,medicaid|self_pay|sliding_fee,substance_use_treatment|detoxification|residential_treatment,0,3,2,146,35,AH|DT|MD|RS|SA|SF|SS|TX
L8819eacc24fcda7,2009,2008,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,medicare|medicaid|self_pay,substance_use_treatment|outpatient_treatment,0,1,1,19,17,MC|MD|OP|SA|SF|TX
L2897b8c86258fa7,2009,2008,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,residential,self_pay,substance_use_treatment|residential_treatment,0,1,2,16,33,CJ|RL|SA|SF|TX|WN
L88e56dda12c76e9,2009,2008,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,medicare|medicaid|payment_assistance,substance_use_treatment|outpatient_treatment,0,1,1,67,17,AH|F92|MC|MD|MH-SA|OP|PA|SP|TX
Leb8e4a8a30f62aa,2009,2008,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification,outpatient,self_pay,substance_use_treatment|detoxification|outpatient_treatment|methadone|buprenorphine,0,3,1,16,787,BU|DM|DT|MM|OP|SA|SF|TX
L91e722662dd8c97,2009,2008,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,private_insurance|self_pay,substance_use_treatment|outpatient_treatment,0,1,1,24,17,AD|MN|OP|PI|SA|SF|SP|TX|WN
Le979da9f8e7a292,2009,2008,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification,outpatient,military_insurance|private_insurance|self_pay,substance_use_treatment|detoxification|outpatient_treatment,0,3,1,28,19,AH|CO|DT|GH|MI|OP|PI|SF|TX
L602bea84bd60d09,2009,2008,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|transitional_housing,residential,self_pay|sliding_fee,substance_use_treatment|transitional_housing|residential_treatment,0,5,2,144,37,CJ|CO|HH|MN|RL|SA|SF|SS|TX|WN
L4ac752133a7d9e7,2009,2008,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,medicaid|self_pay|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,146,17,MD|OP|SA|SF|SS|TX
Lf6c3a828a975903,2009,2008,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,medicaid|self_pay,substance_use_treatment|outpatient_treatment,0,1,1,18,17,MD|MN|OP|SA|SF|TX|WN
Lad4601a37208f0a,2009,2008,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|transitional_housing,residential,self_pay|payment_assistance,substance_use_treatment|transitional_housing|residential_treatment,0,5,2,80,37,HH|PA|RL|SA|SF|TX|WN
L038d6e55ea5e818,2009,2008,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification,outpatient,self_pay,substance_use_treatment|detoxification|outpatient_treatment|methadone|buprenorphine,0,3,1,16,787,BU|DM|DT|MM|OP|SA|SF|TX
Ld55ab4f5f0f9a72,2009,2008,AL,01,South,East South Central,False,,,,,substance_use|detoxification,outpatient|residential|hospital_inpatient,medicare|medicaid|military_insurance|private_insurance|self_pay|state_financed,substance_use_treatment|detoxification|outpatient_treatment|residential_treatment|hospital_inpatient|buprenorphine,0,3,7,63,627,AH|BU|DT|HI|MC|MD|MH-SA|MI|OP|PH|PI|RS|SF|SI|TX
L9bdd86eab17b173,2009,2008,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,medicaid|self_pay|state_financed|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,178,17,AD|MD|MN|OP|PH|PW|SA|SF|SI|SS|TX|WN
L4b485c7fc1f124b,2009,2008,AL,01,South,East South Central,False,01095,zip_crosswalk,low,,substance_use,outpatient,military_insurance|private_insurance|self_pay|state_financed,substance_use_treatment|outpatient_treatment,0,1,1,60,17,AD|MI|OP|PI|SA|SF|SI|TX
L2c093bdeba4efb3,2009,2008,AL,01,South,East South Central,False,01007,zip_crosswalk,low,,substance_use,outpatient,medicaid|self_pay|state_financed,substance_use_treatment|outpatient_treatment,0,1,1,50,17,AH|CO|MD|OP|SA|SF|SI|TX|WN
