listing_id,directory_year,survey_year,state,state_fips,census_region,census_division,has_warning,county_fips,geocode_method,geocode_confidence,ownership,center_type,setting,payment,service_family,ownership_mask,center_type_mask,setting_mask,payment_mask,service_family_mask,service_codes
Lf75a73791812490,2004,2003,AL,01,South,East South Central,False,01123,zip_crosswalk,low,,substance_use|transitional_housing,residential,self_pay,substance_use_treatment|transitional_housing|residential_treatment,0,5,2,16,37,HH|RL|SA|SF|TX
Lea51f456ca9878c,2004,2003,AL,01,South,East South Central,False,01015,zip_crosswalk,low,,substance_use|transitional_housing,residential,self_pay|sliding_fee,substance_use_treatment|transitional_housing|residential_treatment,0,5,2,144,37,HH|RL|SA|SF|SS|TX
L2c48323e88077b1,2004,2003,AL,01,South,East South Central,False,01015,zip_crosswalk,low,,substance_use,outpatient,medicaid|military_insurance|private_insurance|self_pay|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,158,17,MD|MI|OP|PI|SF|SS|TX
L4f7f762ed150de6,2004,2003,AL,01,South,East South Central,False,01115,zip_crosswalk,low,,substance_use,outpatient,medicaid|private_insurance|self_pay|payment_assistance,substance_use_treatment|outpatient_treatment,0,1,1,90,17,AD|AH|MD|OP|PA|PH|PI|SA|SF|SP
L937465c94fe7a7a,2004,2003,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification,outpatient,private_insurance|self_pay,substance_use_treatment|detoxification|outpatient_treatment|methadone,0,3,1,24,275,AH|DT|MM|OP|PI|SA|SF|TX
L07b6c9ae520bf79,2004,2003,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification,residential,medicaid|self_pay|payment_assistance|sliding_fee,substance_use_treatment|detoxification|residential_treatment,0,3,2,210,35,CO|DT|MD|PA|RS|SA|SF|SS|TX
Lfce383438ace3be,2004,2003,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|transitional_housing,outpatient|residential,medicaid|self_pay|payment_assistance,substance_use_treatment|transitional_housing|outpatient_treatment|residential_treatment,0,5,3,82,53,AH|CJ|HH|MD|OP|PA|PH|RL|SA|SF|TX
L550351de18998eb,2004,2003,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,payment_assistance,substance_use_treatment|outpatient_treatment,0,1,1,64,17,HV|OP|PA|TX
L4bb293dc8734cc1,2004,2003,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,self_pay,substance_use_treatment|outpatient_treatment,0,1,1,16,17,OP|SA|SF
L4d4a0b1a85721d4,2004,2003,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,private_insurance|self_pay,substance_use_treatment|outpatient_treatment,0,1,1,24,17,AD|OP|PI|SA|SF|TX
