"survey_year","ownership","facility_count","ownership_share","classified_facilities","missing_ownership","source","comparability_segment","universe"
2009,"Government",1493,0.122789703100584,12159,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2010,"For-profit",3711,0.30873544093178,12020,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2010,"Nonprofit",6861,0.570798668885191,12020,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2010,"Government",1448,0.120465890183028,12020,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2011,"For-profit",3908,0.317930361210543,12292,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2011,"Nonprofit",6949,0.565327041978523,12292,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2011,"Government",1435,0.116742596810934,12292,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2012,"For-profit",4427,0.313017040231917,14143,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2012,"Nonprofit",7940,0.561408470621509,14143,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2012,"Government",1776,0.125574489146574,14143,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2013,"For-profit",4551,0.32558305909286,13978,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2013,"Nonprofit",7707,0.55136643296609,13978,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2013,"Government",1720,0.12305050794105,13978,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2014,"For-profit",4643,0.331808761523619,13993,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2014,"Nonprofit",7712,0.551132709211749,13993,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2014,"Government",1638,0.117058529264632,13993,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2015,"For-profit",4631,0.337585653885406,13718,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2015,"Nonprofit",7479,0.545196092724887,13718,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2015,"Government",1608,0.117218253389707,13718,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2016,"For-profit",5074,0.356120157215048,14248,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2016,"Nonprofit",7562,0.530741156653565,14248,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2016,"Government",1612,0.113138686131387,14248,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2017,"For-profit",4911,0.364290482901862,13481,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2017,"Nonprofit",7097,0.526444625769602,13481,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2017,"Government",1473,0.109264891328536,13481,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2018,"For-profit",5558,0.378326866789191,14691,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2018,"Nonprofit",7571,0.515349533728133,14691,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2018,"Government",1562,0.106323599482676,14691,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2019,"For-profit",6307,0.397867776936664,15852,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2019,"Nonprofit",7976,0.503154176129195,15852,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2019,"Government",1569,0.0989780469341408,15852,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2020,"For-profit",6515,0.408335944844876,15955,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2020,"Nonprofit",7931,0.497085553118145,15955,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2020,"Government",1509,0.094578502036979,15955,0,"N-SSATS public-use facility survey","N-SSATS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2021,"For-profit",6136,0.383428107229894,16003,35,"N-SUMHSS public-use facility survey","N-SUMHSS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2021,"Nonprofit",8155,0.509591951509092,16003,35,"N-SUMHSS public-use facility survey","N-SUMHSS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2021,"Government",1712,0.106979941261014,16003,35,"N-SUMHSS public-use facility survey","N-SUMHSS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2022,"For-profit",6498,0.405871330418488,16010,24,"N-SUMHSS public-use facility survey","N-SUMHSS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2022,"Nonprofit",7831,0.489131792629606,16010,24,"N-SUMHSS public-use facility survey","N-SUMHSS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2022,"Government",1681,0.104996876951905,16010,24,"N-SUMHSS public-use facility survey","N-SUMHSS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2023,"For-profit",6498,0.417501927525058,15564,18,"N-SUMHSS public-use facility survey","N-SUMHSS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2023,"Nonprofit",7530,0.483808789514264,15564,18,"N-SUMHSS public-use facility survey","N-SUMHSS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
2023,"Government",1536,0.0986892829606785,15564,18,"N-SUMHSS public-use facility survey","N-SUMHSS","Public-use survey facilities in the 50 states and DC; N-SUMHSS years retain substance-use or combined-focus facilities"
