directory_year,survey_year,state,census_region,census_division,facility_count,warning_count,state_fips,warning_share
2014,2013,AK,West,Pacific,72,6,02,0.08333333333333333
2014,2013,AL,South,East South Central,127,3,01,0.023622047244094488
2014,2013,AR,South,West South Central,64,1,05,0.015625
2014,2013,AZ,West,Mountain,245,16,04,0.0653061224489796
2014,2013,CA,West,Pacific,1249,94,06,0.07526020816653323
2014,2013,CO,West,Mountain,410,17,08,0.041463414634146344
2014,2013,CT,Northeast,New England,159,11,09,0.06918238993710692
2014,2013,DC,South,South Atlantic,29,0,11,0.0
2014,2013,DE,South,South Atlantic,34,1,10,0.029411764705882353
2014,2013,FL,South,South Atlantic,456,14,12,0.03070175438596491
2014,2013,GA,South,South Atlantic,278,7,13,0.025179856115107913
2014,2013,HI,West,Pacific,116,55,15,0.47413793103448276
2014,2013,IA,Midwest,West North Central,102,6,19,0.058823529411764705
2014,2013,ID,West,Mountain,92,0,16,0.0
2014,2013,IL,Midwest,East North Central,601,29,17,0.048252911813643926
2014,2013,IN,Midwest,East North Central,232,5,18,0.021551724137931036
2014,2013,KS,Midwest,West North Central,189,8,20,0.042328042328042326
2014,2013,KY,South,East South Central,293,8,21,0.027303754266211604
2014,2013,LA,South,West South Central,93,11,22,0.11827956989247312
2014,2013,MA,Northeast,New England,259,16,25,0.06177606177606178
2014,2013,MD,South,South Atlantic,323,26,24,0.0804953560371517
2014,2013,ME,Northeast,New England,185,9,23,0.04864864864864865
2014,2013,MI,Midwest,East North Central,421,14,26,0.0332541567695962
2014,2013,MN,Midwest,West North Central,309,5,27,0.016181229773462782
2014,2013,MO,Midwest,West North Central,217,13,29,0.059907834101382486
2014,2013,MS,South,East South Central,68,2,28,0.029411764705882353
2014,2013,MT,West,Mountain,58,4,30,0.06896551724137931
2014,2013,NC,South,South Atlantic,358,8,37,0.0223463687150838
2014,2013,ND,Midwest,West North Central,57,1,38,0.017543859649122806
2014,2013,NE,Midwest,West North Central,90,2,31,0.022222222222222223
2014,2013,NH,Northeast,New England,37,0,33,0.0
2014,2013,NJ,Northeast,Middle Atlantic,314,20,34,0.06369426751592357
2014,2013,NM,West,Mountain,96,8,35,0.08333333333333333
2014,2013,NV,West,Mountain,60,1,32,0.016666666666666666
2014,2013,NY,Northeast,Middle Atlantic,791,110,36,0.1390644753476612
2014,2013,OH,Midwest,East North Central,286,5,39,0.017482517482517484
2014,2013,OK,South,West South Central,167,4,40,0.023952095808383235
2014,2013,OR,West,Pacific,208,4,41,0.019230769230769232
2014,2013,PA,Northeast,Middle Atlantic,434,38,42,0.08755760368663594
2014,2013,RI,Northeast,New England,54,2,44,0.037037037037037035
2014,2013,SC,South,South Atlantic,92,1,45,0.010869565217391304
2014,2013,SD,Midwest,West North Central,54,3,46,0.05555555555555555
2014,2013,TN,South,East South Central,166,5,47,0.030120481927710843
2014,2013,TX,South,West South Central,370,12,48,0.032432432432432434
2014,2013,UT,West,Mountain,136,6,49,0.04411764705882353
2014,2013,VA,South,South Atlantic,140,2,51,0.014285714285714285
2014,2013,VT,Northeast,New England,36,3,50,0.08333333333333333
2014,2013,WA,West,Pacific,401,13,53,0.032418952618453865
2014,2013,WI,Midwest,East North Central,200,16,55,0.08
2014,2013,WV,South,South Atlantic,86,4,54,0.046511627906976744
2014,2013,WY,West,Mountain,45,0,56,0.0
2015,2014,AK,West,Pacific,73,6,02,0.0821917808219178
2015,2014,AL,South,East South Central,128,5,01,0.0390625
2015,2014,AR,South,West South Central,59,1,05,0.01694915254237288
2015,2014,AZ,West,Mountain,250,16,04,0.064
2015,2014,CA,West,Pacific,1234,88,06,0.0713128038897893
2015,2014,CO,West,Mountain,418,19,08,0.045454545454545456
2015,2014,CT,Northeast,New England,160,9,09,0.05625
2015,2014,DC,South,South Atlantic,28,0,11,0.0
2015,2014,DE,South,South Atlantic,33,1,10,0.030303030303030304
2015,2014,FL,South,South Atlantic,519,24,12,0.046242774566473986
2015,2014,GA,South,South Atlantic,270,8,13,0.02962962962962963
2015,2014,HI,West,Pacific,165,77,15,0.4666666666666667
2015,2014,IA,Midwest,West North Central,105,6,19,0.05714285714285714
2015,2014,ID,West,Mountain,121,2,16,0.01652892561983471
2015,2014,IL,Midwest,East North Central,651,34,17,0.05222734254992319
2015,2014,IN,Midwest,East North Central,229,9,18,0.039301310043668124
2015,2014,KS,Midwest,West North Central,189,6,20,0.031746031746031744
2015,2014,KY,South,East South Central,316,11,21,0.03481012658227848
2015,2014,LA,South,West South Central,91,8,22,0.08791208791208792
2015,2014,MA,Northeast,New England,294,16,25,0.05442176870748299
2015,2014,MD,South,South Atlantic,338,24,24,0.07100591715976332
2015,2014,ME,Northeast,New England,204,10,23,0.049019607843137254
2015,2014,MI,Midwest,East North Central,423,11,26,0.026004728132387706
2015,2014,MN,Midwest,West North Central,341,5,27,0.01466275659824047
2015,2014,MO,Midwest,West North Central,234,9,29,0.038461538461538464
2015,2014,MS,South,East South Central,63,4,28,0.06349206349206349
2015,2014,MT,West,Mountain,54,5,30,0.09259259259259259
2015,2014,NC,South,South Atlantic,395,12,37,0.030379746835443037
2015,2014,ND,Midwest,West North Central,58,4,38,0.06896551724137931
2015,2014,NE,Midwest,West North Central,85,3,31,0.03529411764705882
2015,2014,NH,Northeast,New England,36,0,33,0.0
2015,2014,NJ,Northeast,Middle Atlantic,311,23,34,0.07395498392282958
2015,2014,NM,West,Mountain,82,7,35,0.08536585365853659
2015,2014,NV,West,Mountain,60,2,32,0.03333333333333333
2015,2014,NY,Northeast,Middle Atlantic,804,117,36,0.1455223880597015
2015,2014,OH,Midwest,East North Central,302,9,39,0.029801324503311258
2015,2014,OK,South,West South Central,169,4,40,0.023668639053254437
2015,2014,OR,West,Pacific,209,4,41,0.019138755980861243
2015,2014,PA,Northeast,Middle Atlantic,482,39,42,0.08091286307053942
2015,2014,RI,Northeast,New England,55,2,44,0.03636363636363636
2015,2014,SC,South,South Atlantic,90,3,45,0.03333333333333333
2015,2014,SD,Midwest,West North Central,64,5,46,0.078125
2015,2014,TN,South,East South Central,167,5,47,0.029940119760479042
2015,2014,TX,South,West South Central,381,10,48,0.026246719160104987
2015,2014,UT,West,Mountain,148,7,49,0.0472972972972973
2015,2014,VA,South,South Atlantic,139,3,51,0.02158273381294964
2015,2014,VT,Northeast,New England,39,2,50,0.05128205128205128
2015,2014,WA,West,Pacific,401,14,53,0.034912718204488775
2015,2014,WI,Midwest,East North Central,201,15,55,0.07462686567164178
2015,2014,WV,South,South Atlantic,92,3,54,0.03260869565217391
2015,2014,WY,West,Mountain,53,1,56,0.018867924528301886
2016,2015,AK,West,Pacific,81,5,02,0.06172839506172839
2016,2015,AL,South,East South Central,124,3,01,0.024193548387096774
2016,2015,AR,South,West South Central,60,1,05,0.016666666666666666
2016,2015,AZ,West,Mountain,283,22,04,0.07773851590106007
2016,2015,CA,West,Pacific,1165,90,06,0.07725321888412018
2016,2015,CO,West,Mountain,350,17,08,0.04857142857142857
2016,2015,CT,Northeast,New England,180,15,09,0.08333333333333333
2016,2015,DC,South,South Atlantic,26,1,11,0.038461538461538464
2016,2015,DE,South,South Atlantic,33,1,10,0.030303030303030304
2016,2015,FL,South,South Atlantic,522,25,12,0.04789272030651341
2016,2015,GA,South,South Atlantic,275,9,13,0.03272727272727273
2016,2015,HI,West,Pacific,148,77,15,0.5202702702702703
2016,2015,IA,Midwest,West North Central,131,6,19,0.04580152671755725
2016,2015,ID,West,Mountain,104,3,16,0.028846153846153848
2016,2015,IL,Midwest,East North Central,598,25,17,0.04180602006688963
2016,2015,IN,Midwest,East North Central,226,5,18,0.022123893805309734
2016,2015,KS,Midwest,West North Central,190,10,20,0.05263157894736842
2016,2015,KY,South,East South Central,281,11,21,0.03914590747330961
2016,2015,LA,South,West South Central,108,8,22,0.07407407407407407
2016,2015,MA,Northeast,New England,279,15,25,0.053763440860215055
2016,2015,MD,South,South Atlantic,333,26,24,0.07807807807807808
2016,2015,ME,Northeast,New England,178,9,23,0.05056179775280899
2016,2015,MI,Midwest,East North Central,415,10,26,0.024096385542168676
2016,2015,MN,Midwest,West North Central,309,6,27,0.019417475728155338
2016,2015,MO,Midwest,West North Central,225,9,29,0.04
2016,2015,MS,South,East South Central,72,4,28,0.05555555555555555
2016,2015,MT,West,Mountain,50,2,30,0.04
2016,2015,NC,South,South Atlantic,366,10,37,0.0273224043715847
2016,2015,ND,Midwest,West North Central,56,1,38,0.017857142857142856
2016,2015,NE,Midwest,West North Central,107,3,31,0.028037383177570093
2016,2015,NH,Northeast,New England,43,2,33,0.046511627906976744
2016,2015,NJ,Northeast,Middle Atlantic,299,23,34,0.07692307692307693
2016,2015,NM,West,Mountain,121,6,35,0.049586776859504134
2016,2015,NV,West,Mountain,62,0,32,0.0
2016,2015,NY,Northeast,Middle Atlantic,780,127,36,0.16282051282051282
2016,2015,OH,Midwest,East North Central,310,10,39,0.03225806451612903
2016,2015,OK,South,West South Central,148,2,40,0.013513513513513514
2016,2015,OR,West,Pacific,203,6,41,0.029556650246305417
2016,2015,PA,Northeast,Middle Atlantic,471,42,42,0.08917197452229299
2016,2015,RI,Northeast,New England,46,5,44,0.10869565217391304
2016,2015,SC,South,South Atlantic,91,3,45,0.03296703296703297
2016,2015,SD,Midwest,West North Central,56,0,46,0.0
2016,2015,TN,South,East South Central,191,7,47,0.03664921465968586
2016,2015,TX,South,West South Central,380,12,48,0.031578947368421054
2016,2015,UT,West,Mountain,149,6,49,0.040268456375838924
2016,2015,VA,South,South Atlantic,200,5,51,0.025
2016,2015,VT,Northeast,New England,39,0,50,0.0
2016,2015,WA,West,Pacific,376,16,53,0.0425531914893617
2016,2015,WI,Midwest,East North Central,228,14,55,0.06140350877192982
2016,2015,WV,South,South Atlantic,90,3,54,0.03333333333333333
2016,2015,WY,West,Mountain,52,1,56,0.019230769230769232
2017,2016,AK,West,Pacific,80,5,02,0.0625
2017,2016,AL,South,East South Central,122,4,01,0.03278688524590164
2017,2016,AR,South,West South Central,89,3,05,0.033707865168539325
2017,2016,AZ,West,Mountain,282,24,04,0.0851063829787234
2017,2016,CA,West,Pacific,1138,84,06,0.07381370826010544
2017,2016,CO,West,Mountain,349,14,08,0.04011461318051576
2017,2016,CT,Northeast,New England,186,16,09,0.08602150537634409
2017,2016,DC,South,South Atlantic,26,0,11,0.0
2017,2016,DE,South,South Atlantic,37,3,10,0.08108108108108109
2017,2016,FL,South,South Atlantic,562,18,12,0.03202846975088968
2017,2016,GA,South,South Atlantic,272,9,13,0.03308823529411765
2017,2016,HI,West,Pacific,149,78,15,0.5234899328859061
2017,2016,IA,Midwest,West North Central,134,7,19,0.05223880597014925
2017,2016,ID,West,Mountain,107,3,16,0.028037383177570093
2017,2016,IL,Midwest,East North Central,612,35,17,0.05718954248366013
2017,2016,IN,Midwest,East North Central,236,7,18,0.029661016949152543
2017,2016,KS,Midwest,West North Central,180,7,20,0.03888888888888889
2017,2016,KY,South,East South Central,298,16,21,0.053691275167785234
2017,2016,LA,South,West South Central,106,9,22,0.08490566037735849
2017,2016,MA,Northeast,New England,308,19,25,0.06168831168831169
2017,2016,MD,South,South Atlantic,363,27,24,0.0743801652892562
2017,2016,ME,Northeast,New England,198,13,23,0.06565656565656566
2017,2016,MI,Midwest,East North Central,431,13,26,0.030162412993039442
2017,2016,MN,Midwest,West North Central,333,6,27,0.018018018018018018
2017,2016,MO,Midwest,West North Central,238,12,29,0.05042016806722689
2017,2016,MS,South,East South Central,71,3,28,0.04225352112676056
2017,2016,MT,West,Mountain,44,3,30,0.06818181818181818
2017,2016,NC,South,South Atlantic,413,17,37,0.04116222760290557
2017,2016,ND,Midwest,West North Central,56,0,38,0.0
2017,2016,NE,Midwest,West North Central,111,4,31,0.036036036036036036
2017,2016,NH,Northeast,New England,52,2,33,0.038461538461538464
2017,2016,NJ,Northeast,Middle Atlantic,299,20,34,0.06688963210702341
2017,2016,NM,West,Mountain,113,7,35,0.061946902654867256
2017,2016,NV,West,Mountain,61,3,32,0.04918032786885246
2017,2016,NY,Northeast,Middle Atlantic,806,138,36,0.17121588089330025
2017,2016,OH,Midwest,East North Central,333,10,39,0.03003003003003003
2017,2016,OK,South,West South Central,136,6,40,0.04411764705882353
2017,2016,OR,West,Pacific,188,3,41,0.015957446808510637
2017,2016,PA,Northeast,Middle Atlantic,478,36,42,0.07531380753138076
2017,2016,RI,Northeast,New England,48,4,44,0.08333333333333333
2017,2016,SC,South,South Atlantic,94,2,45,0.02127659574468085
2017,2016,SD,Midwest,West North Central,49,0,46,0.0
2017,2016,TN,South,East South Central,186,7,47,0.03763440860215054
2017,2016,TX,South,West South Central,393,12,48,0.030534351145038167
2017,2016,UT,West,Mountain,188,8,49,0.0425531914893617
2017,2016,VA,South,South Atlantic,196,6,51,0.030612244897959183
2017,2016,VT,Northeast,New England,41,0,50,0.0
2017,2016,WA,West,Pacific,377,19,53,0.050397877984084884
2017,2016,WI,Midwest,East North Central,218,14,55,0.06422018348623854
2017,2016,WV,South,South Atlantic,94,4,54,0.0425531914893617
2017,2016,WY,West,Mountain,46,1,56,0.021739130434782608
2018,2017,AK,West,Pacific,84,5,02,0.05952380952380952
2018,2017,AL,South,East South Central,118,2,01,0.01694915254237288
2018,2017,AR,South,West South Central,96,2,05,0.020833333333333332
2018,2017,AZ,West,Mountain,302,24,04,0.07947019867549669
2018,2017,CA,West,Pacific,1107,64,06,0.057813911472448055
2018,2017,CO,West,Mountain,347,6,08,0.01729106628242075
2018,2017,CT,Northeast,New England,200,11,09,0.055
2018,2017,DC,South,South Atlantic,24,0,11,0.0
2018,2017,DE,South,South Atlantic,26,1,10,0.038461538461538464
2018,2017,FL,South,South Atlantic,536,15,12,0.027985074626865673
2018,2017,GA,South,South Atlantic,254,4,13,0.015748031496062992
2018,2017,HI,West,Pacific,144,75,15,0.5208333333333334
2018,2017,IA,Midwest,West North Central,142,6,19,0.04225352112676056
2018,2017,ID,West,Mountain,106,1,16,0.009433962264150943
2018,2017,IL,Midwest,East North Central,580,25,17,0.04310344827586207
2018,2017,IN,Midwest,East North Central,277,4,18,0.01444043321299639
2018,2017,KS,Midwest,West North Central,166,5,20,0.030120481927710843
2018,2017,KY,South,East South Central,335,8,21,0.023880597014925373
2018,2017,LA,South,West South Central,107,7,22,0.06542056074766354
2018,2017,MA,Northeast,New England,333,14,25,0.042042042042042045
2018,2017,MD,South,South Atlantic,360,22,24,0.06111111111111111
2018,2017,ME,Northeast,New England,174,8,23,0.04597701149425287
2018,2017,MI,Midwest,East North Central,431,7,26,0.016241299303944315
2018,2017,MN,Midwest,West North Central,337,9,27,0.026706231454005934
2018,2017,MO,Midwest,West North Central,236,7,29,0.029661016949152543
2018,2017,MS,South,East South Central,69,1,28,0.014492753623188406
2018,2017,MT,West,Mountain,60,2,30,0.03333333333333333
2018,2017,NC,South,South Atlantic,428,14,37,0.03271028037383177
2018,2017,ND,Midwest,West North Central,62,0,38,0.0
2018,2017,NE,Midwest,West North Central,116,6,31,0.05172413793103448
2018,2017,NH,Northeast,New England,67,3,33,0.04477611940298507
2018,2017,NJ,Northeast,Middle Atlantic,321,17,34,0.0529595015576324
2018,2017,NM,West,Mountain,119,4,35,0.03361344537815126
2018,2017,NV,West,Mountain,61,0,32,0.0
2018,2017,NY,Northeast,Middle Atlantic,769,124,36,0.16124837451235371
2018,2017,OH,Midwest,East North Central,359,11,39,0.03064066852367688
2018,2017,OK,South,West South Central,164,2,40,0.012195121951219513
2018,2017,OR,West,Pacific,202,5,41,0.024752475247524754
2018,2017,PA,Northeast,Middle Atlantic,488,28,42,0.05737704918032787
2018,2017,RI,Northeast,New England,46,2,44,0.043478260869565216
2018,2017,SC,South,South Atlantic,91,4,45,0.04395604395604396
2018,2017,SD,Midwest,West North Central,52,0,46,0.0
2018,2017,TN,South,East South Central,199,7,47,0.035175879396984924
2018,2017,TX,South,West South Central,385,9,48,0.023376623376623377
2018,2017,UT,West,Mountain,216,5,49,0.023148148148148147
2018,2017,VA,South,South Atlantic,187,10,51,0.053475935828877004
2018,2017,VT,Northeast,New England,40,0,50,0.0
2018,2017,WA,West,Pacific,362,10,53,0.027624309392265192
2018,2017,WI,Midwest,East North Central,247,14,55,0.05668016194331984
2018,2017,WV,South,South Atlantic,90,2,54,0.022222222222222223
2018,2017,WY,West,Mountain,47,1,56,0.02127659574468085
2019,2018,AK,West,Pacific,89,7,02,0.07865168539325842
2019,2018,AL,South,East South Central,124,2,01,0.016129032258064516
2019,2018,AR,South,West South Central,136,3,05,0.022058823529411766
2019,2018,AZ,West,Mountain,383,27,04,0.07049608355091384
2019,2018,CA,West,Pacific,1172,74,06,0.06313993174061433
2019,2018,CO,West,Mountain,381,10,08,0.026246719160104987
2019,2018,CT,Northeast,New England,212,10,09,0.04716981132075472
2019,2018,DC,South,South Atlantic,23,0,11,0.0
2019,2018,DE,South,South Atlantic,34,2,10,0.058823529411764705
2019,2018,FL,South,South Atlantic,586,15,12,0.025597269624573378
2019,2018,GA,South,South Atlantic,288,4,13,0.013888888888888888
2019,2018,HI,West,Pacific,151,79,15,0.5231788079470199
2019,2018,IA,Midwest,West North Central,164,6,19,0.036585365853658534
2019,2018,ID,West,Mountain,125,1,16,0.008
2019,2018,IL,Midwest,East North Central,644,28,17,0.043478260869565216
2019,2018,IN,Midwest,East North Central,323,4,18,0.01238390092879257
2019,2018,KS,Midwest,West North Central,167,4,20,0.023952095808383235
2019,2018,KY,South,East South Central,392,4,21,0.01020408163265306
2019,2018,LA,South,West South Central,120,7,22,0.058333333333333334
2019,2018,MA,Northeast,New England,388,19,25,0.04896907216494845
2019,2018,MD,South,South Atlantic,380,17,24,0.04473684210526316
2019,2018,ME,Northeast,New England,161,9,23,0.055900621118012424
2019,2018,MI,Midwest,East North Central,437,7,26,0.016018306636155607
2019,2018,MN,Midwest,West North Central,362,9,27,0.024861878453038673
2019,2018,MO,Midwest,West North Central,256,6,29,0.0234375
2019,2018,MS,South,East South Central,72,2,28,0.027777777777777776
2019,2018,MT,West,Mountain,66,0,30,0.0
2019,2018,NC,South,South Atlantic,476,13,37,0.0273109243697479
2019,2018,ND,Midwest,West North Central,73,0,38,0.0
2019,2018,NE,Midwest,West North Central,119,3,31,0.025210084033613446
2019,2018,NH,Northeast,New England,72,3,33,0.041666666666666664
2019,2018,NJ,Northeast,Middle Atlantic,342,17,34,0.049707602339181284
2019,2018,NM,West,Mountain,130,4,35,0.03076923076923077
2019,2018,NV,West,Mountain,69,0,32,0.0
2019,2018,NY,Northeast,Middle Atlantic,825,152,36,0.18424242424242424
2019,2018,OH,Midwest,East North Central,415,12,39,0.02891566265060241
2019,2018,OK,South,West South Central,173,3,40,0.017341040462427744
2019,2018,OR,West,Pacific,210,4,41,0.01904761904761905
2019,2018,PA,Northeast,Middle Atlantic,547,33,42,0.0603290676416819
2019,2018,RI,Northeast,New England,54,2,44,0.037037037037037035
2019,2018,SC,South,South Atlantic,103,4,45,0.038834951456310676
2019,2018,SD,Midwest,West North Central,52,0,46,0.0
2019,2018,TN,South,East South Central,232,7,47,0.03017241379310345
2019,2018,TX,South,West South Central,456,11,48,0.02412280701754386
2019,2018,UT,West,Mountain,258,7,49,0.027131782945736434
2019,2018,VA,South,South Atlantic,209,7,51,0.03349282296650718
2019,2018,VT,Northeast,New England,42,0,50,0.0
2019,2018,WA,West,Pacific,427,12,53,0.02810304449648712
2019,2018,WI,Midwest,East North Central,250,11,55,0.044
2019,2018,WV,South,South Atlantic,93,2,54,0.021505376344086023
2019,2018,WY,West,Mountain,50,0,56,0.0
2020,2019,AK,West,Pacific,90,9,02,0.1
2020,2019,AL,South,East South Central,129,2,01,0.015503875968992248
2020,2019,AR,South,West South Central,149,2,05,0.013422818791946308
2020,2019,AZ,West,Mountain,408,27,04,0.0661764705882353
2020,2019,CA,West,Pacific,1440,91,06,0.06319444444444444
2020,2019,CO,West,Mountain,378,10,08,0.026455026455026454
2020,2019,CT,Northeast,New England,208,12,09,0.057692307692307696
2020,2019,DC,South,South Atlantic,25,0,11,0.0
2020,2019,DE,South,South Atlantic,42,2,10,0.047619047619047616
2020,2019,FL,South,South Atlantic,574,17,12,0.029616724738675958
2020,2019,GA,South,South Atlantic,298,3,13,0.010067114093959731
2020,2019,HI,West,Pacific,149,76,15,0.5100671140939598
2020,2019,IA,Midwest,West North Central,170,5,19,0.029411764705882353
2020,2019,ID,West,Mountain,111,2,16,0.018018018018018018
2020,2019,IL,Midwest,East North Central,724,27,17,0.03729281767955801
2020,2019,IN,Midwest,East North Central,355,5,18,0.014084507042253521
2020,2019,KS,Midwest,West North Central,172,3,20,0.01744186046511628
2020,2019,KY,South,East South Central,413,5,21,0.012106537530266344
2020,2019,LA,South,West South Central,123,5,22,0.04065040650406504
2020,2019,MA,Northeast,New England,402,25,25,0.06218905472636816
2020,2019,MD,South,South Atlantic,400,22,24,0.055
2020,2019,ME,Northeast,New England,169,10,23,0.05917159763313609
2020,2019,MI,Midwest,East North Central,439,8,26,0.018223234624145785
2020,2019,MN,Midwest,West North Central,395,9,27,0.02278481012658228
2020,2019,MO,Midwest,West North Central,264,5,29,0.01893939393939394
2020,2019,MS,South,East South Central,80,1,28,0.0125
2020,2019,MT,West,Mountain,72,2,30,0.027777777777777776
2020,2019,NC,South,South Atlantic,481,11,37,0.02286902286902287
2020,2019,ND,Midwest,West North Central,74,0,38,0.0
2020,2019,NE,Midwest,West North Central,120,3,31,0.025
2020,2019,NH,Northeast,New England,76,3,33,0.039473684210526314
2020,2019,NJ,Northeast,Middle Atlantic,344,19,34,0.055232558139534885
2020,2019,NM,West,Mountain,140,5,35,0.03571428571428571
2020,2019,NV,West,Mountain,81,0,32,0.0
2020,2019,NY,Northeast,Middle Atlantic,842,170,36,0.20190023752969122
2020,2019,OH,Midwest,East North Central,447,11,39,0.024608501118568233
2020,2019,OK,South,West South Central,184,1,40,0.005434782608695652
2020,2019,OR,West,Pacific,215,3,41,0.013953488372093023
2020,2019,PA,Northeast,Middle Atlantic,565,28,42,0.049557522123893805
2020,2019,RI,Northeast,New England,58,4,44,0.06896551724137931
2020,2019,SC,South,South Atlantic,108,3,45,0.027777777777777776
2020,2019,SD,Midwest,West North Central,54,0,46,0.0
2020,2019,TN,South,East South Central,286,7,47,0.024475524475524476
2020,2019,TX,South,West South Central,457,10,48,0.02188183807439825
2020,2019,UT,West,Mountain,291,8,49,0.027491408934707903
2020,2019,VA,South,South Atlantic,210,7,51,0.03333333333333333
2020,2019,VT,Northeast,New England,46,0,50,0.0
2020,2019,WA,West,Pacific,418,11,53,0.02631578947368421
2020,2019,WI,Midwest,East North Central,251,10,55,0.0398406374501992
2020,2019,WV,South,South Atlantic,87,4,54,0.04597701149425287
2020,2019,WY,West,Mountain,55,0,56,0.0
2021,2020,AK,West,Pacific,95,9,02,0.09473684210526316
2021,2020,AL,South,East South Central,134,3,01,0.022388059701492536
2021,2020,AR,South,West South Central,158,1,05,0.006329113924050633
2021,2020,AZ,West,Mountain,376,29,04,0.07712765957446809
2021,2020,CA,West,Pacific,1392,89,06,0.0639367816091954
2021,2020,CO,West,Mountain,361,7,08,0.019390581717451522
2021,2020,CT,Northeast,New England,196,11,09,0.05612244897959184
2021,2020,DC,South,South Atlantic,28,0,11,0.0
2021,2020,DE,South,South Atlantic,43,3,10,0.06976744186046512
2021,2020,FL,South,South Atlantic,594,17,12,0.02861952861952862
2021,2020,GA,South,South Atlantic,286,6,13,0.02097902097902098
2021,2020,HI,West,Pacific,154,77,15,0.5
2021,2020,IA,Midwest,West North Central,178,2,19,0.011235955056179775
2021,2020,ID,West,Mountain,105,2,16,0.01904761904761905
2021,2020,IL,Midwest,East North Central,693,28,17,0.04040404040404041
2021,2020,IN,Midwest,East North Central,368,7,18,0.019021739130434784
2021,2020,KS,Midwest,West North Central,161,3,20,0.018633540372670808
2021,2020,KY,South,East South Central,459,8,21,0.017429193899782137
2021,2020,LA,South,West South Central,142,6,22,0.04225352112676056
2021,2020,MA,Northeast,New England,422,23,25,0.054502369668246446
2021,2020,MD,South,South Atlantic,380,22,24,0.05789473684210526
2021,2020,ME,Northeast,New England,180,8,23,0.044444444444444446
2021,2020,MI,Midwest,East North Central,422,9,26,0.02132701421800948
2021,2020,MN,Midwest,West North Central,394,10,27,0.025380710659898477
2021,2020,MO,Midwest,West North Central,263,4,29,0.015209125475285171
2021,2020,MS,South,East South Central,87,1,28,0.011494252873563218
2021,2020,MT,West,Mountain,117,3,30,0.02564102564102564
2021,2020,NC,South,South Atlantic,541,10,37,0.018484288354898338
2021,2020,ND,Midwest,West North Central,73,0,38,0.0
2021,2020,NE,Midwest,West North Central,119,2,31,0.01680672268907563
2021,2020,NH,Northeast,New England,81,3,33,0.037037037037037035
2021,2020,NJ,Northeast,Middle Atlantic,348,15,34,0.04310344827586207
2021,2020,NM,West,Mountain,134,7,35,0.05223880597014925
2021,2020,NV,West,Mountain,89,1,32,0.011235955056179775
2021,2020,NY,Northeast,Middle Atlantic,806,169,36,0.20967741935483872
2021,2020,OH,Midwest,East North Central,489,13,39,0.026584867075664622
2021,2020,OK,South,West South Central,176,3,40,0.017045454545454544
2021,2020,OR,West,Pacific,214,4,41,0.018691588785046728
2021,2020,PA,Northeast,Middle Atlantic,564,31,42,0.0549645390070922
2021,2020,RI,Northeast,New England,57,5,44,0.08771929824561403
2021,2020,SC,South,South Atlantic,116,2,45,0.017241379310344827
2021,2020,SD,Midwest,West North Central,53,0,46,0.0
2021,2020,TN,South,East South Central,292,8,47,0.0273972602739726
2021,2020,TX,South,West South Central,469,17,48,0.03624733475479744
2021,2020,UT,West,Mountain,306,8,49,0.026143790849673203
2021,2020,VA,South,South Atlantic,206,7,51,0.03398058252427184
2021,2020,VT,Northeast,New England,43,0,50,0.0
2021,2020,WA,West,Pacific,418,8,53,0.019138755980861243
2021,2020,WI,Midwest,East North Central,257,14,55,0.054474708171206226
2021,2020,WV,South,South Atlantic,93,3,54,0.03225806451612903
2021,2020,WY,West,Mountain,57,0,56,0.0
2022,2021,AK,West,Pacific,81,0,02,0.0
2022,2021,AL,South,East South Central,111,0,01,0.0
2022,2021,AR,South,West South Central,120,0,05,0.0
2022,2021,AZ,West,Mountain,314,0,04,0.0
2022,2021,CA,West,Pacific,1194,0,06,0.0
2022,2021,CO,West,Mountain,300,0,08,0.0
2022,2021,CT,Northeast,New England,161,0,09,0.0
2022,2021,DC,South,South Atlantic,25,0,11,0.0
2022,2021,DE,South,South Atlantic,40,0,10,0.0
2022,2021,FL,South,South Atlantic,502,0,12,0.0
2022,2021,GA,South,South Atlantic,238,0,13,0.0
2022,2021,HI,West,Pacific,123,0,15,0.0
2022,2021,IA,Midwest,West North Central,155,0,19,0.0
2022,2021,ID,West,Mountain,94,0,16,0.0
2022,2021,IL,Midwest,East North Central,595,0,17,0.0
2022,2021,IN,Midwest,East North Central,340,0,18,0.0
2022,2021,KS,Midwest,West North Central,132,0,20,0.0
2022,2021,KY,South,East South Central,354,0,21,0.0
2022,2021,LA,South,West South Central,121,0,22,0.0
2022,2021,MA,Northeast,New England,371,0,25,0.0
2022,2021,MD,South,South Atlantic,326,0,24,0.0
2022,2021,ME,Northeast,New England,134,0,23,0.0
2022,2021,MI,Midwest,East North Central,352,0,26,0.0
2022,2021,MN,Midwest,West North Central,337,0,27,0.0
2022,2021,MO,Midwest,West North Central,239,0,29,0.0
2022,2021,MS,South,East South Central,76,0,28,0.0
2022,2021,MT,West,Mountain,110,0,30,0.0
2022,2021,NC,South,South Atlantic,454,0,37,0.0
2022,2021,ND,Midwest,West North Central,67,0,38,0.0
2022,2021,NE,Midwest,West North Central,106,0,31,0.0
2022,2021,NH,Northeast,New England,67,0,33,0.0
2022,2021,NJ,Northeast,Middle Atlantic,318,0,34,0.0
