directory_year,survey_year,state,census_region,census_division,facility_count,warning_count,state_fips,warning_share
2008,2007,WI,Midwest,East North Central,207,12,55,0.057971014492753624
2008,2007,WV,South,South Atlantic,63,5,54,0.07936507936507936
2008,2007,WY,West,Mountain,44,1,56,0.022727272727272728
2009,2008,AK,West,Pacific,54,4,02,0.07407407407407407
2009,2008,AL,South,East South Central,92,2,01,0.021739130434782608
2009,2008,AR,South,West South Central,41,3,05,0.07317073170731707
2009,2008,AZ,West,Mountain,137,8,04,0.058394160583941604
2009,2008,CA,West,Pacific,1499,111,06,0.07404936624416278
2009,2008,CO,West,Mountain,368,14,08,0.03804347826086957
2009,2008,CT,Northeast,New England,158,13,09,0.08227848101265822
2009,2008,DC,South,South Atlantic,39,2,11,0.05128205128205128
2009,2008,DE,South,South Atlantic,33,2,10,0.06060606060606061
2009,2008,FL,South,South Atlantic,477,20,12,0.041928721174004195
2009,2008,GA,South,South Atlantic,161,5,13,0.031055900621118012
2009,2008,HI,West,Pacific,114,55,15,0.4824561403508772
2009,2008,IA,Midwest,West North Central,84,7,19,0.08333333333333333
2009,2008,ID,West,Mountain,67,2,16,0.029850746268656716
2009,2008,IL,Midwest,East North Central,566,24,17,0.04240282685512368
2009,2008,IN,Midwest,East North Central,268,8,18,0.029850746268656716
2009,2008,KS,Midwest,West North Central,201,13,20,0.06467661691542288
2009,2008,KY,South,East South Central,265,8,21,0.03018867924528302
2009,2008,LA,South,West South Central,127,7,22,0.05511811023622047
2009,2008,MA,Northeast,New England,227,20,25,0.0881057268722467
2009,2008,MD,South,South Atlantic,316,19,24,0.060126582278481014
2009,2008,ME,Northeast,New England,170,13,23,0.07647058823529412
2009,2008,MI,Midwest,East North Central,452,21,26,0.046460176991150445
2009,2008,MN,Midwest,West North Central,258,3,27,0.011627906976744186
2009,2008,MO,Midwest,West North Central,211,7,29,0.03317535545023697
2009,2008,MS,South,East South Central,77,2,28,0.025974025974025976
2009,2008,MT,West,Mountain,38,4,30,0.10526315789473684
2009,2008,NC,South,South Atlantic,317,10,37,0.031545741324921134
2009,2008,ND,Midwest,West North Central,55,3,38,0.05454545454545454
2009,2008,NE,Midwest,West North Central,93,1,31,0.010752688172043012
2009,2008,NH,Northeast,New England,35,4,33,0.11428571428571428
2009,2008,NJ,Northeast,Middle Atlantic,278,26,34,0.09352517985611511
2009,2008,NM,West,Mountain,85,4,35,0.047058823529411764
2009,2008,NV,West,Mountain,62,1,32,0.016129032258064516
2009,2008,NY,Northeast,Middle Atlantic,880,91,36,0.10340909090909091
2009,2008,OH,Midwest,East North Central,337,6,39,0.017804154302670624
2009,2008,OK,South,West South Central,140,5,40,0.03571428571428571
2009,2008,OR,West,Pacific,210,4,41,0.01904761904761905
2009,2008,PA,Northeast,Middle Atlantic,438,48,42,0.1095890410958904
2009,2008,RI,Northeast,New England,48,2,44,0.041666666666666664
2009,2008,SC,South,South Atlantic,80,4,45,0.05
2009,2008,SD,Midwest,West North Central,49,2,46,0.04081632653061224
2009,2008,TN,South,East South Central,160,5,47,0.03125
2009,2008,TX,South,West South Central,401,17,48,0.04239401496259352
2009,2008,UT,West,Mountain,114,4,49,0.03508771929824561
2009,2008,VA,South,South Atlantic,111,1,51,0.009009009009009009
2009,2008,VT,Northeast,New England,36,3,50,0.08333333333333333
2009,2008,WA,West,Pacific,389,17,53,0.043701799485861184
2009,2008,WI,Midwest,East North Central,203,16,55,0.07881773399014778
2009,2008,WV,South,South Atlantic,62,3,54,0.04838709677419355
2009,2008,WY,West,Mountain,44,0,56,0.0
2010,2009,AK,West,Pacific,63,4,02,0.06349206349206349
2010,2009,AL,South,East South Central,99,4,01,0.04040404040404041
2010,2009,AR,South,West South Central,33,2,05,0.06060606060606061
2010,2009,AZ,West,Mountain,175,8,04,0.045714285714285714
2010,2009,CA,West,Pacific,1491,103,06,0.06908115358819585
2010,2009,CO,West,Mountain,356,12,08,0.033707865168539325
2010,2009,CT,Northeast,New England,156,14,09,0.08974358974358974
2010,2009,DC,South,South Atlantic,36,2,11,0.05555555555555555
2010,2009,DE,South,South Atlantic,29,4,10,0.13793103448275862
2010,2009,FL,South,South Atlantic,454,21,12,0.046255506607929514
2010,2009,GA,South,South Atlantic,158,8,13,0.05063291139240506
2010,2009,HI,West,Pacific,114,56,15,0.49122807017543857
2010,2009,IA,Midwest,West North Central,85,6,19,0.07058823529411765
2010,2009,ID,West,Mountain,62,2,16,0.03225806451612903
2010,2009,IL,Midwest,East North Central,582,22,17,0.037800687285223365
2010,2009,IN,Midwest,East North Central,267,6,18,0.02247191011235955
2010,2009,KS,Midwest,West North Central,178,6,20,0.033707865168539325
2010,2009,KY,South,East South Central,270,10,21,0.037037037037037035
2010,2009,LA,South,West South Central,126,8,22,0.06349206349206349
2010,2009,MA,Northeast,New England,236,13,25,0.05508474576271186
2010,2009,MD,South,South Atlantic,292,18,24,0.06164383561643835
2010,2009,ME,Northeast,New England,148,9,23,0.060810810810810814
2010,2009,MI,Midwest,East North Central,442,10,26,0.02262443438914027
2010,2009,MN,Midwest,West North Central,274,5,27,0.01824817518248175
2010,2009,MO,Midwest,West North Central,213,8,29,0.03755868544600939
2010,2009,MS,South,East South Central,77,2,28,0.025974025974025976
2010,2009,MT,West,Mountain,40,5,30,0.125
2010,2009,NC,South,South Atlantic,341,12,37,0.03519061583577713
2010,2009,ND,Midwest,West North Central,53,2,38,0.03773584905660377
2010,2009,NE,Midwest,West North Central,97,0,31,0.0
2010,2009,NH,Northeast,New England,37,2,33,0.05405405405405406
2010,2009,NJ,Northeast,Middle Atlantic,282,22,34,0.07801418439716312
2010,2009,NM,West,Mountain,85,3,35,0.03529411764705882
2010,2009,NV,West,Mountain,65,2,32,0.03076923076923077
2010,2009,NY,Northeast,Middle Atlantic,876,85,36,0.09703196347031963
2010,2009,OH,Midwest,East North Central,321,4,39,0.012461059190031152
2010,2009,OK,South,West South Central,152,3,40,0.019736842105263157
2010,2009,OR,West,Pacific,222,5,41,0.02252252252252252
2010,2009,PA,Northeast,Middle Atlantic,441,40,42,0.09070294784580499
2010,2009,RI,Northeast,New England,54,1,44,0.018518518518518517
2010,2009,SC,South,South Atlantic,86,1,45,0.011627906976744186
2010,2009,SD,Midwest,West North Central,46,1,46,0.021739130434782608
2010,2009,TN,South,East South Central,150,3,47,0.02
2010,2009,TX,South,West South Central,394,13,48,0.03299492385786802
2010,2009,UT,West,Mountain,114,2,49,0.017543859649122806
2010,2009,VA,South,South Atlantic,111,2,51,0.018018018018018018
2010,2009,VT,Northeast,New England,33,3,50,0.09090909090909091
2010,2009,WA,West,Pacific,385,14,53,0.03636363636363636
2010,2009,WI,Midwest,East North Central,212,15,55,0.07075471698113207
2010,2009,WV,South,South Atlantic,62,2,54,0.03225806451612903
2010,2009,WY,West,Mountain,42,1,56,0.023809523809523808
2011,2010,AK,West,Pacific,57,3,02,0.05263157894736842
2011,2010,AL,South,East South Central,95,2,01,0.021052631578947368
2011,2010,AR,South,West South Central,41,2,05,0.04878048780487805
2011,2010,AZ,West,Mountain,165,9,04,0.05454545454545454
2011,2010,CA,West,Pacific,1415,84,06,0.059363957597173146
2011,2010,CO,West,Mountain,388,18,08,0.04639175257731959
2011,2010,CT,Northeast,New England,150,10,09,0.06666666666666667
2011,2010,DC,South,South Atlantic,32,1,11,0.03125
2011,2010,DE,South,South Atlantic,25,2,10,0.08
2011,2010,FL,South,South Atlantic,446,16,12,0.03587443946188341
2011,2010,GA,South,South Atlantic,154,4,13,0.025974025974025976
2011,2010,HI,West,Pacific,110,52,15,0.4727272727272727
2011,2010,IA,Midwest,West North Central,84,4,19,0.047619047619047616
2011,2010,ID,West,Mountain,80,1,16,0.0125
2011,2010,IL,Midwest,East North Central,592,23,17,0.03885135135135135
2011,2010,IN,Midwest,East North Central,246,6,18,0.024390243902439025
2011,2010,KS,Midwest,West North Central,197,12,20,0.06091370558375635
2011,2010,KY,South,East South Central,269,6,21,0.022304832713754646
2011,2010,LA,South,West South Central,119,10,22,0.08403361344537816
2011,2010,MA,Northeast,New England,231,16,25,0.06926406926406926
2011,2010,MD,South,South Atlantic,306,18,24,0.058823529411764705
2011,2010,ME,Northeast,New England,164,10,23,0.06097560975609756
2011,2010,MI,Midwest,East North Central,439,15,26,0.03416856492027335
2011,2010,MN,Midwest,West North Central,279,4,27,0.014336917562724014
2011,2010,MO,Midwest,West North Central,243,11,29,0.04526748971193416
2011,2010,MS,South,East South Central,74,1,28,0.013513513513513514
2011,2010,MT,West,Mountain,39,4,30,0.10256410256410256
2011,2010,NC,South,South Atlantic,342,5,37,0.014619883040935672
2011,2010,ND,Midwest,West North Central,50,2,38,0.04
2011,2010,NE,Midwest,West North Central,100,4,31,0.04
2011,2010,NH,Northeast,New England,34,2,33,0.058823529411764705
2011,2010,NJ,Northeast,Middle Atlantic,290,22,34,0.07586206896551724
2011,2010,NM,West,Mountain,90,3,35,0.03333333333333333
2011,2010,NV,West,Mountain,67,1,32,0.014925373134328358
2011,2010,NY,Northeast,Middle Atlantic,916,86,36,0.09388646288209607
2011,2010,OH,Midwest,East North Central,301,6,39,0.019933554817275746
2011,2010,OK,South,West South Central,150,2,40,0.013333333333333334
2011,2010,OR,West,Pacific,190,5,41,0.02631578947368421
2011,2010,PA,Northeast,Middle Atlantic,454,36,42,0.07929515418502203
2011,2010,RI,Northeast,New England,50,1,44,0.02
2011,2010,SC,South,South Atlantic,87,2,45,0.022988505747126436
2011,2010,SD,Midwest,West North Central,48,2,46,0.041666666666666664
2011,2010,TN,South,East South Central,155,2,47,0.012903225806451613
2011,2010,TX,South,West South Central,387,10,48,0.025839793281653745
2011,2010,UT,West,Mountain,123,5,49,0.04065040650406504
2011,2010,VA,South,South Atlantic,112,1,51,0.008928571428571428
2011,2010,VT,Northeast,New England,33,1,50,0.030303030303030304
2011,2010,WA,West,Pacific,415,12,53,0.02891566265060241
2011,2010,WI,Midwest,East North Central,213,14,55,0.06572769953051644
2011,2010,WV,South,South Atlantic,62,2,54,0.03225806451612903
2011,2010,WY,West,Mountain,41,0,56,0.0
2012,2011,AK,West,Pacific,59,4,02,0.06779661016949153
2012,2011,AL,South,East South Central,104,4,01,0.038461538461538464
2012,2011,AR,South,West South Central,60,2,05,0.03333333333333333
2012,2011,AZ,West,Mountain,171,10,04,0.05847953216374269
2012,2011,CA,West,Pacific,1386,88,06,0.06349206349206349
2012,2011,CO,West,Mountain,387,12,08,0.031007751937984496
2012,2011,CT,Northeast,New England,142,11,09,0.07746478873239436
2012,2011,DC,South,South Atlantic,34,1,11,0.029411764705882353
2012,2011,DE,South,South Atlantic,30,2,10,0.06666666666666667
2012,2011,FL,South,South Atlantic,471,16,12,0.03397027600849257
2012,2011,GA,South,South Atlantic,171,7,13,0.04093567251461988
2012,2011,HI,West,Pacific,112,53,15,0.4732142857142857
2012,2011,IA,Midwest,West North Central,85,3,19,0.03529411764705882
2012,2011,ID,West,Mountain,89,1,16,0.011235955056179775
2012,2011,IL,Midwest,East North Central,609,23,17,0.03776683087027915
2012,2011,IN,Midwest,East North Central,236,6,18,0.025423728813559324
2012,2011,KS,Midwest,West North Central,205,9,20,0.04390243902439024
2012,2011,KY,South,East South Central,296,7,21,0.02364864864864865
2012,2011,LA,South,West South Central,107,9,22,0.08411214953271028
2012,2011,MA,Northeast,New England,244,10,25,0.040983606557377046
2012,2011,MD,South,South Atlantic,311,22,24,0.0707395498392283
2012,2011,ME,Northeast,New England,179,7,23,0.03910614525139665
2012,2011,MI,Midwest,East North Central,450,23,26,0.051111111111111114
2012,2011,MN,Midwest,West North Central,303,6,27,0.019801980198019802
2012,2011,MO,Midwest,West North Central,257,18,29,0.07003891050583658
2012,2011,MS,South,East South Central,71,3,28,0.04225352112676056
2012,2011,MT,West,Mountain,45,4,30,0.08888888888888889
2012,2011,NC,South,South Atlantic,349,7,37,0.02005730659025788
2012,2011,ND,Midwest,West North Central,52,3,38,0.057692307692307696
2012,2011,NE,Midwest,West North Central,100,4,31,0.04
2012,2011,NH,Northeast,New England,39,3,33,0.07692307692307693
2012,2011,NJ,Northeast,Middle Atlantic,317,21,34,0.06624605678233439
2012,2011,NM,West,Mountain,95,6,35,0.06315789473684211
2012,2011,NV,West,Mountain,62,0,32,0.0
2012,2011,NY,Northeast,Middle Atlantic,815,85,36,0.10429447852760736
2012,2011,OH,Midwest,East North Central,304,8,39,0.02631578947368421
