listing_id,directory_year,survey_year,state,state_fips,census_region,census_division,has_warning,county_fips,geocode_method,geocode_confidence,ownership,center_type,setting,payment,service_family,ownership_mask,center_type_mask,setting_mask,payment_mask,service_family_mask,service_codes
L2d2b746b4a43a37,2001,2000,AL,01,South,East South Central,False,01123,zip_crosswalk,low,,substance_use|transitional_housing,,,substance_use_treatment|transitional_housing,0,5,0,0,5,HH|OM|RR|SA|TX
Lb77f8bb3b84d86a,2001,2000,AL,01,South,East South Central,False,01015,zip_crosswalk,low,,substance_use|transitional_housing,,,substance_use_treatment|transitional_housing,0,5,0,0,5,HH|OM|RR|SA|TX
L484ecbded95bd47,2001,2000,AL,01,South,East South Central,False,01015,zip_crosswalk,low,,substance_use,outpatient,medicaid|military_insurance|private_insurance|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,142,17,AD|DD|DU|MD|MI|OP|PI|SA|SS|TX
L01b1140be49414b,2001,2000,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification,outpatient,medicaid,substance_use_treatment|detoxification|outpatient_treatment,0,3,1,2,19,DD|DT|HV|MD|OP|OW|RR|SA|TX
L6803203aee86734,2001,2000,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,medicaid,substance_use_treatment|outpatient_treatment,0,1,1,2,17,MD|OM|OP|OW|PW|RR|SA|TX
Lcfade9790f6fdfa,2001,2000,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,,substance_use_treatment|outpatient_treatment,0,1,1,0,17,AD|DD|GH|HV|OA|OP|OW|PW|TX
L4660705af9e5543,2001,2000,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification,outpatient,,substance_use_treatment|detoxification|outpatient_treatment,0,3,1,0,19,DD|DT|GL|HV|ML|OP|PW|SA|SE|TX
L85bde0fc8ea2a14,2001,2000,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,private_insurance,substance_use_treatment|outpatient_treatment,0,1,1,8,17,AD|OA|OP|PI|SA|TX
L9cb2abe46db1bc7,2001,2000,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,,substance_use_treatment|outpatient_treatment,0,1,1,0,17,CJ|DD|DU|HV|MH-SA|ML|OP|PL|RR|TX
L6fc245dfeaac68f,2001,2000,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|transitional_housing,outpatient,sliding_fee,substance_use_treatment|transitional_housing|outpatient_treatment,0,5,1,128,21,DD|GL|HH|HV|MH-SA|OM|OP|OW|RR|SE|SS|TX
L4038d35483063b8,2001,2000,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification|mental_health,,medicare|private_insurance,substance_use_treatment|detoxification,0,11,0,9,3,AD|DD|DT|MC|MH|PI|SE|TX
Lddbbc80688f891b,2001,2000,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,medicaid,substance_use_treatment|outpatient_treatment,0,1,1,2,17,AD|MD|OP|SA|TX
L5de9d9f20e914c7,2001,2000,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,,substance_use_treatment|outpatient_treatment,0,1,1,0,17,AD|CJ|OP|SA|TX
L5db5bad92cd9577,2001,2000,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|transitional_housing,,,substance_use_treatment|transitional_housing,0,5,0,0,5,GL|HH|HV|OW|PW|RR|SA|SE|TX
Ld4fe6e8291979ea,2001,2000,AL,01,South,East South Central,False,,,,,substance_use|detoxification|mental_health,outpatient,medicare|medicaid|private_insurance,substance_use_treatment|detoxification|outpatient_treatment,0,11,1,11,19,DD|DT|GL|HV|MC|MD|MH|ML|OM|OP|PH|PI|RR|SE|TX
L938041747bb0681,2001,2000,AL,01,South,East South Central,False,01117,zip_crosswalk,low,,substance_use,outpatient,medicaid|private_insurance,substance_use_treatment|outpatient_treatment,0,1,1,10,17,AD|CJ|DU|MD|OA|OP|PI|SA|TX
Lf5d1835dea98126,2001,2000,AL,01,South,East South Central,False,01103,zip_crosswalk,low,,substance_use,outpatient,medicaid|private_insurance,substance_use_treatment|outpatient_treatment,0,1,1,10,17,DD|MD|OP|OW|PI|PW|SA|TX
L1d1509f56316684,2001,2000,AL,01,South,East South Central,False,01091,zip_crosswalk,low,,substance_use,outpatient,medicaid|military_insurance|private_insurance|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,142,17,AD|CJ|DD|DU|MD|MH-SA|MI|OP|PI|SS|TX
L52c92b2dcb3fbda,2001,2000,AL,01,South,East South Central,False,01069,zip_crosswalk,low,,substance_use,,medicaid,substance_use_treatment,0,1,0,2,1,MD|PL|RR|SA|TX
L2e958630a333884,2001,2000,AL,01,South,East South Central,False,01003,zip_crosswalk,low,,substance_use|mental_health,outpatient,medicaid|military_insurance|private_insurance,substance_use_treatment|outpatient_treatment,0,9,1,14,17,AD|DD|MD|MH|MI|OP|PI|TX
L32676c69935a789,2001,2000,AL,01,South,East South Central,False,01077,zip_crosswalk,low,,substance_use|detoxification,outpatient,medicare|medicaid|military_insurance|private_insurance|sliding_fee,substance_use_treatment|detoxification|outpatient_treatment,0,3,1,143,19,AD|DD|DT|MC|MD|MH-SA|MI|OM|OP|PH|PI|RR|SS|TX
L2107af7e2e95510,2001,2000,AL,01,South,East South Central,False,01077,zip_crosswalk,low,,substance_use,outpatient,medicaid|private_insurance,substance_use_treatment|outpatient_treatment,0,1,1,10,17,AD|DD|DU|MD|OP|PI|SA|TX
L93aeb1b144c5838,2001,2000,AL,01,South,East South Central,False,01045,zip_crosswalk,low,,substance_use,outpatient,,substance_use_treatment|outpatient_treatment,0,1,1,0,17,OP|SA|TX
L9ef7745cac8403d,2001,2000,AL,01,South,East South Central,False,01055,zip_crosswalk,low,,substance_use,outpatient,medicaid|military_insurance|private_insurance,substance_use_treatment|outpatient_treatment,0,1,1,14,17,DD|MD|MH-SA|MI|OP|PH|PI|TX
L11f3e65e454ee53,2001,2000,AL,01,South,East South Central,False,,,,,substance_use|detoxification,outpatient|hospital_inpatient,medicare|medicaid|military_insurance|private_insurance,substance_use_treatment|detoxification|outpatient_treatment|hospital_inpatient,0,3,5,15,83,CJ|DD|DT|DU|GL|HI|HV|MC|MD|MH-SA|MI|OM|OP|OW|PH|PI|RR|SE|SP|TX
L2e0ba9a1f4640dd,2001,2000,AL,01,South,East South Central,False,01055,zip_crosswalk,low,,substance_use,,medicaid|private_insurance|sliding_fee,substance_use_treatment,0,1,0,138,1,AD|MD|OM|PI|RR|SA|SS|TX
Lb1c49935f185dbb,2001,2000,AL,01,South,East South Central,False,01095,zip_crosswalk,low,,substance_use,outpatient,medicaid|private_insurance,substance_use_treatment|outpatient_treatment,0,1,1,10,17,CJ|MD|OM|OP|OW|PI|RR|SA|TX
L06e8e9da1b1493d,2001,2000,AL,01,South,East South Central,False,01089,zip_crosswalk,low,,substance_use|detoxification,outpatient,medicare|medicaid|military_insurance|private_insurance,substance_use_treatment|detoxification|outpatient_treatment,0,3,1,15,19,AD|CJ|DT|GH|MC|MD|MI|OP|PH|PI|TX
Lec3e4b126e1bf13,2001,2000,AL,01,South,East South Central,False,01089,zip_crosswalk,low,,substance_use,outpatient,medicaid|military_insurance|private_insurance,substance_use_treatment|outpatient_treatment,0,1,1,14,17,MD|MI|OP|PI|SA|SP|TX
L18c03762a7e0a6e,2001,2000,AL,01,South,East South Central,False,01089,zip_crosswalk,low,,substance_use,outpatient,,substance_use_treatment|outpatient_treatment,0,1,1,0,17,ML|OP|OW|PW|SA|TX
Lcdb2a618001b013,2001,2000,AL,01,South,East South Central,False,01089,zip_crosswalk,low,,substance_use|transitional_housing,,private_insurance|sliding_fee,substance_use_treatment|transitional_housing,0,5,0,136,5,DD|GL|HH|HV|OA|OM|OW|PI|RR|SA|SE|SS|TX
Lc4e79807ddf2d8f,2001,2000,AL,01,South,East South Central,False,01127,zip_crosswalk,low,,substance_use|mental_health,outpatient,private_insurance|sliding_fee,substance_use_treatment|outpatient_treatment,0,9,1,136,17,CJ|DU|MH|OA|OP|PH|PI|SS|TX
Le522a59215d261f,2001,2000,AL,01,South,East South Central,False,01089,zip_crosswalk,low,,substance_use|detoxification,outpatient,military_insurance|private_insurance,substance_use_treatment|detoxification|outpatient_treatment,0,3,1,12,19,AD|DT|MI|OP|PH|PI|RR|SA|TX
L3dad16a7daf31b0,2001,2000,AL,01,South,East South Central,False,01097,zip_crosswalk,low,,substance_use,outpatient,military_insurance,substance_use_treatment|outpatient_treatment,0,1,1,4,17,AD|GL|HV|MI|OM|OP|OW|PH|PL|PW|SA|SE|TX
