listing_id,directory_year,survey_year,state,state_fips,census_region,census_division,has_warning,county_fips,geocode_method,geocode_confidence,ownership,center_type,setting,payment,service_family,ownership_mask,center_type_mask,setting_mask,payment_mask,service_family_mask,service_codes
L4694fba41cfd4b4,2021,2020,AL,01,South,East South Central,False,01067,zip_crosswalk,low,private_nonprofit,substance_use|cooccurring,outpatient,medicare|medicaid|military_insurance|private_insurance|self_pay|state_financed|sliding_fee,substance_use_treatment|cooccurring|outpatient_treatment|buprenorphine|telehealth,2,17,1,191,2585,ACC|ACM|AH|ANG|AOSS|BABA|BU|BUM|BWN|BWON|CBT|CJ|CLND|CM|CMHA|CO|CSAA|DAOF|DAUT|DP|DSF|DV|FCO|FEM|FSA|GCO|GL|HAEC|HEOH|HIVT|HS|HV|ICO|ISC|LFXD|MALE|MC|MCO|MD|MHS|MI|MN|MOTI|MPD|MXM|NOE|OFD|OMB|OP|OPC|ORT|PI|PMAT|PVTN|PW|RELP|SA|SACA|SAE|SE|SF|SI|SMHD|SMPD|SNR|SS|SSA|SSD|STAG|STMH|STU|SUMH|TAEC|TAY|TBS|TELE|TRC|TRMA|TWFA|UB|VET|WN|XA
Le8c12e594d29f92,2021,2020,AL,01,South,East South Central,False,01117,zip_crosswalk,low,private_forprofit,substance_use|detoxification|cooccurring,outpatient,medicaid|private_insurance|self_pay,substance_use_treatment|detoxification|cooccurring|outpatient_treatment|opioid_treatment_program|methadone|buprenorphine|naltrexone|telehealth,4,19,1,26,3995,ACC|ACM|ADD|ADLT|ADM|ADTX|AH|ANG|AOSS|BABA|BDTX|BERI|BIA|BMW|BSDM|BU|BUM|BWN|BWON|CARF|CBT|CDTX|CJ|CLND|CM|CMHA|CMI|CO|COPSU|CSAA|DAOF|DAUT|DB|DBT|DM|DP|DSF|DT|DU|DV|DVFP|EIH|EMP|F47|FCO|FEM|FSA|GCO|GL|HAEC|HAV|HBV|HEOH|HIVT|HS|HV|ICO|ISC|LFXD|MALE|MCO|MD|MDET|MDTX|METH|MF|MHCV|MHIV|MHS|MM|MMW|MN|MOTI|MPD|MST|MU|MXM|NOE|NRT|NSC|NU|NXN|OD|ODTX|OFD|OIT|OMB|OP|OPC|ORT|OTP|PEER|PI|PIEC|PMAT|PVTP|PW|RC|REBT|RELP|RPN|SA|SACA|SAE|SE|SF|SHB|SHC|SHG|SMHD|SMPD|SNR|SP|SSA|SSD|STAG|STDT|STMH|STU|SUMH|TAEC|TAY|TBS|TCC|TELE|TGD|TID|TRC|TRMA|TWFA|UB|ULC|UN|VET|VOC|VTRL|WN|XA|YAD
L1440c3973698749,2021,2020,AL,01,South,East South Central,False,01123,zip_crosswalk,low,private_nonprofit,substance_use|transitional_housing|cooccurring,residential,self_pay,substance_use_treatment|transitional_housing|cooccurring|residential_treatment,2,21,2,16,45,ACC|ACMA|ADLT|AH|ANG|AOSS|AUPC|AURPE|BABA|CBT|CM|CMI|DAOF|DAUT|DBT|DP|FCO|FQHC|FSA|GCO|HAEC|HEOH|HH|HIVT|ICO|ISC|MALE|MN|MOA|MOTI|MXM|NOE|OFD|OPC|PC|PEER|PVTN|RC|REBT|RELP|RES|RL|RPE|SA|SACA|SAE|SF|SHG|SMPD|SSA|SSD|STAG|STMH|SUMH|TA|TAEC|TBS|TCC|TRC|TWFA|VOC|YAD
L7f5ad50268c7b38,2021,2020,AL,01,South,East South Central,False,01039,zip_crosswalk,low,private_nonprofit,substance_use,outpatient,medicaid|self_pay|payment_assistance|sliding_fee,substance_use_treatment|outpatient_treatment,2,1,1,210,17,ACC|ACMA|ADLT|AH|ANG|AUPC|BABA|BIA|CBT|CM|CMI|CSAA|DAUT|DP|DU|FCO|FEM|FSA|GCO|HAEC|HEOH|ICO|ISC|MALE|MD|MN|MOA|MOTI|OP|OPC|ORT|PA|PC|PEER|PVTN|RELP|SA|SACA|SAE|SF|SHG|SMHD|SMPD|SS|SSA|SSD|STAG|STU|TAEC|TBS|TCC|TWFA|WN|YAD
Ld3a1c707a9d99ca,2021,2020,AL,01,South,East South Central,False,01039,zip_crosswalk,low,private_nonprofit,substance_use,residential,self_pay|payment_assistance|sliding_fee,substance_use_treatment|residential_treatment,2,1,2,208,33,ACMA|ADLT|AH|ANG|AUPC|BIA|CBT|CM|CMI|DAUT|DBT|DP|FCO|FSA|GCO|HAEC|HIVT|ICO|MALE|MCO|MN|MOA|MOTI|PA|PC|PEER|PVTN|REBT|RELP|RES|RS|SA|SACA|SAE|SF|SMPD|SS|STMH|TAEC|TWFA|YAD
L5403a0ffbc68823,2021,2020,AL,01,South,East South Central,False,01015,zip_crosswalk,low,private_nonprofit,substance_use|transitional_housing,residential,self_pay,substance_use_treatment|transitional_housing|residential_treatment|telehealth,2,5,2,16,2085,ACC|ACMA|ADLT|AH|ANG|AURPE|BABA|BIA|CBT|CM|CMI|CSAA|DAOF|DAUT|DBT|DP|EIH|EMP|FCO|FSA|GCO|HAEC|HH|HIVT|ICO|ISC|MALE|MCO|MN|MOA|MOTI|MXM|NOE|OFD|OPC|PEER|PVTN|REBT|RELP|RES|RL|RPE|SA|SACA|SAE|SF|SHC|SMPD|SSA|SSD|STAG|STMH|TAEC|TBS|TCC|TELE|TRC|TWFA|YAD
L9bacbaed0d21267,2021,2020,AL,01,South,East South Central,False,01083,zip_crosswalk,low,private_forprofit,substance_use|detoxification,outpatient,self_pay,substance_use_treatment|detoxification|outpatient_treatment|buprenorphine|telehealth,4,3,1,16,2579,ACC|ANG|AOSS|BMW|BU|BUM|BWN|BWON|CBT|CHLD|CLND|CM|CMI|CSAA|DAOF|DAUT|DB|DP|DT|DVFP|FCO|FEM|HAEC|HS|ICO|MALE|MCO|MDET|MHS|NAUT|NOE|OD|ODTX|OMB|OP|OPC|ORT|OTPA|PEER|PVTP|RELP|SA|SACA|SAE|SF|SMHD|SMPD|SSA|SSD|STAG|STU|TAEC|TELE|TRC|UB
Lba85eac473b07e0,2021,2020,AL,01,South,East South Central,False,01133,zip_crosswalk,low,private_forprofit,substance_use|cooccurring,residential,military_insurance|sliding_fee,substance_use_treatment|cooccurring|residential_treatment|telehealth,4,17,2,132,2089,ACC|ACMA|ADD|ADLT|ADM|ANG|AOSS|AUINPE|AUPC|AURPE|BABA|BIA|CARF|CBT|CCC|CJ|CM|CMHA|CMI|CO|COPSU|CRV|CSAA|DAOF|DAUT|DBT|DP|DU|DV|DVFP|EIH|EMP|FCO|FEM|GCO|HAEC|HEOH|HIVT|HS|ICO|INPE|ISC|ITU|MALE|MCO|MF|MHS|MI|MN|MOA|MOTI|MPD|MST|MXM|NOE|NRT|NSC|OFD|OPC|PEER|PIEC|PVTP|RC|REBT|RELP|RES|RL|RPE|RS|SA|SACA|SAE|SHB|SHC|SHG|SMHD|SMPD|SS|SSA|SSD|STDT|STMH|STU|SUMH|TA|TAEC|TBS|TCC|TELE|TGD|TID|TRC|TRMA|TWFA|VET|WN|YAD
Lfbd494096c2e218,2021,2020,AL,01,South,East South Central,False,01083,zip_crosswalk,low,private_forprofit,substance_use|cooccurring,outpatient,medicare|medicaid|military_insurance|private_insurance|self_pay|state_financed,substance_use_treatment|cooccurring|outpatient_treatment|buprenorphine|naltrexone|telehealth,4,17,1,63,3609,ACM|ADD|ADLT|ADM|ANG|AOSS|BERI|BIA|BMW|BU|BUM|BWN|BWON|CBT|CJ|CLND|CO|COPSU|CSAA|DAOF|DAUT|DBT|DSF|DV|EMP|FCO|FEM|GCO|GL|HIVT|HS|HV|ICO|ISC|MALE|MC|MCO|MD|MF|MHS|MI|MN|MOTI|MPD|NOE|NRT|NSC|NU|NXN|OMB|OP|ORT|PEER|PI|PMAT|PVTP|PW|RC|REBT|RELP|RPN|SA|SACA|SAE|SE|SF|SHB|SHC|SI|SMHD|SMON|SNR|SSA|STU|SUMH|TAY|TCC|TELE|TGD|TID|TRC|TRMA|UB|UN|VET|VTRL|WN|XA|YAD
L40fb55f876a5eef,2021,2020,AL,01,South,East South Central,False,01055,zip_crosswalk,low,private_nonprofit,substance_use|cooccurring,outpatient,medicaid|military_insurance|private_insurance|self_pay|sliding_fee,substance_use_treatment|cooccurring|outpatient_treatment,2,17,1,158,25,ACC|ACMA|ADLT|AH|ANG|AOSS|AUINPE|AURPE|BIA|CBT|CLND|CM|CMHA|CMI|CSAA|DAOF|DAUT|DBT|DP|EIH|FCO|FEM|FQHC|FSA|GCO|HAEC|HEOH|HIVT|HS|ICO|INPE|ISC|MALE|MCO|MD|MHS|MI|MOA|MOTI|MPD|MXM|NMAUT|NMOA|NOE|OFD|OIT|OP|OPC|ORT|PEER|PI|PVTN|REBT|RELP|RPE|SA|SACA|SAE|SF|SMHD|SMPD|SS|SSA|SSD|STAG|STMH|STU|SUMH|TA|TAEC|TBS|TCC|TRC|TWFA|YAD
