listing_id,directory_year,survey_year,state,state_fips,census_region,census_division,has_warning,county_fips,geocode_method,geocode_confidence,ownership,center_type,setting,payment,service_family,ownership_mask,center_type_mask,setting_mask,payment_mask,service_family_mask,service_codes
Le14ab376c7425a9,2017,2016,AL,01,South,East South Central,False,01067,zip_crosswalk,low,private_unspecified,substance_use|mental_health,outpatient,medicare|medicaid|military_insurance|private_insurance|self_pay|state_financed|sliding_fee,substance_use_treatment|outpatient_treatment|naltrexone,1,9,1,191,1041,ACC|ACM|ADLT|AH|ANG|AOSS|BABA|CBT|CHLD|CJ|CM|CMHA|CO|CSAA|DAUT|DP|DV|FEM|FSA|GCO|GL|HAEC|HEOH|HV|ICO|ISC|MALE|MC|MCO|MD|MH|MHS|MI|MN|MOA|MOTI|MPD|MXM|NXN|OP|ORT|PI|PVT|PW|REBT|RELP|SA|SACA|SAE|SAF|SE|SF|SI|SMHD|SMPD|SS|SSA|SSD|STAG|STMH|TAEC|TAY|TBS|TRC|TRMA|TWFA|VET|VTRL|WN|XA|YAD
L561cd97457edf0f,2017,2016,AL,01,South,East South Central,False,01117,zip_crosswalk,low,private_unspecified,substance_use,outpatient,medicaid|private_insurance|self_pay|sliding_fee,substance_use_treatment|outpatient_treatment|opioid_treatment_program|methadone|buprenorphine|naltrexone,1,1,1,154,1937,ACC|ACM|ACU|ADD|ADLT|ADM|AH|ANG|AOSS|BABA|BIA|BMO|BMW|BU|BUM|CARF|CBT|CJ|CMHA|CMI|CO|CSAA|DAUT|DBT|DP|DSF|DU|DV|DVFP|EIH|EMP|FCO|FEM|GCO|GL|HAEC|HIVT|HV|ICO|ISC|MALE|MCO|MD|METH|MF|MHS|MM|MMW|MN|MOTI|MPD|MXM|NXN|OIT|OMB|OP|OPC|ORT|OTP|OTPA|PI|PVT|PW|REBT|RELP|RPN|SA|SACA|SAE|SAF|SE|SF|SHB|SHC|SHG|SMHD|SMPD|SP|SS|SSA|SSD|STAG|STDT|STMH|TAEC|TAY|TBS|TCC|TGD|TID|TRC|TRMA|TWFA|VET|VTRL|WN|XA|YAD
L61c4f373b0f02bc,2017,2016,AL,01,South,East South Central,False,01123,zip_crosswalk,low,private_unspecified,substance_use|transitional_housing,residential,self_pay,substance_use_treatment|transitional_housing|residential_treatment,1,5,2,16,37,ACC|ADLT|ANG|AOSS|CBT|DP|FCO|FSA|GCO|HAEC|HH|ICO|MALE|MN|MOA|MOTI|PVT|REBT|RELP|RES|RL|SA|SACA|SAE|SAF|SF|SHG|SMPD|STAG|STMH|TA|TBS|TWFA|YAD
L6cae385b5602f58,2017,2016,AL,01,South,East South Central,False,01015,zip_crosswalk,low,private_unspecified,substance_use|transitional_housing,residential,self_pay,substance_use_treatment|transitional_housing|residential_treatment,1,5,2,16,37,ACC|ADLT|AH|ANG|BABA|BIA|CBT|CM|CMI|CSAA|DAUT|DBT|DP|EMP|FCO|FSA|GCO|HAEC|HH|ICO|ISC|MALE|MCO|MN|MOA|MOTI|OPC|PEER|PVT|REBT|RELP|RES|RL|SA|SACA|SAE|SAF|SF|SMPD|SSA|SSD|STAG|STMH|TCC|TRC|TWFA|YAD
Le4da70f62bab64e,2017,2016,AL,01,South,East South Central,True,01015,zip_crosswalk,low,,substance_use,,,substance_use_treatment|naltrexone,0,1,0,0,1025,ACC|ADLT|ANG|BABA|CBT|CM|CMI|CSAA|DAUT|DP|EIH|FCO|FEM|FSA|GCO|HAEC|HIVT|ICO|ISC|MALE|MCO|MHS|MXM|NMOA|NP|OPC|RELP|SA|SACA|SAE|SAF|SHG|SMHD|SMPD|SSA|SSD|TA|TAEC|TWFA|VTRL|YAD
L1e41f27c269b28a,2017,2016,AL,01,South,East South Central,False,01083,zip_crosswalk,low,private_unspecified,substance_use,outpatient,private_insurance|self_pay|sliding_fee,substance_use_treatment|outpatient_treatment,1,1,1,152,17,ACC|ADLT|ANG|BIA|CBT|CM|CMI|CSAA|DAUT|DBT|DP|DVFP|EIH|FCO|FEM|FSA|GCO|HAEC|HEOH|ICO|ISC|MALE|MCO|MHS|MOA|MOTI|MXM|OIT|OP|OPC|ORT|PI|PVT|REBT|RELP|SA|SACA|SAE|SAF|SF|SMHD|SMPD|SS|SSA|SSD|TAEC|TRC|TWFA|YAD
Lf85c6c94e7ae4c5,2017,2016,AL,01,South,East South Central,False,01055,zip_crosswalk,low,private_unspecified,substance_use|mental_health,outpatient,medicaid|military_insurance|private_insurance|self_pay|sliding_fee,substance_use_treatment|outpatient_treatment,1,9,1,158,17,ACC|ADLT|AH|ANG|AOSS|BABA|BIA|CBT|CM|CMHA|CSAA|DAUT|DBT|DP|EIH|FCO|FEM|FSA|GCO|HAEC|HEOH|HIVT|ICO|ISC|MALE|MCO|MD|MH|MHS|MI|MOA|MOTI|MPD|MXM|OIT|OP|OPC|ORT|PEER|PI|PVT|REBT|RELP|SA|SACA|SAE|SAF|SF|SMHD|SMPD|SS|SSA|SSD|STAG|STMH|TA|TAEC|TCC|TRC|TWFA|YAD
L98d1db468500fdb,2017,2016,AL,01,South,East South Central,False,01055,zip_crosswalk,low,private_unspecified,substance_use,outpatient,private_insurance|self_pay|sliding_fee,substance_use_treatment|outpatient_treatment,1,1,1,152,17,ACC|ADLT|ANG|BABA|BIA|CBT|CM|CMI|CSAA|DAUT|DBT|DP|DVFP|EMP|FCO|FEM|GCO|ICO|ISC|MALE|MCO|MOA|MOTI|MXM|OIT|OP|ORT|PI|PVT|REBT|RELP|SA|SACA|SAE|SAF|SF|SMHD|SMPD|SS|SSA|TWFA|YAD
L1e32d525351526b,2017,2016,AL,01,South,East South Central,False,01055,zip_crosswalk,low,private_unspecified,substance_use|transitional_housing,,private_insurance|self_pay,substance_use_treatment|transitional_housing,1,5,0,24,5,ACC|ADLT|ANG|AOSS|BIA|CBT|CM|CSAA|DAUT|DP|DVFP|EIH|EMP|FCO|FSA|GCO|HAEC|HH|HS|ICO|ISC|MALE|MCO|MHS|MN|MOA|MOTI|MXM|OPC|PEER|PI|PVT|REBT|RELP|SA|SACA|SAE|SAF|SF|SHG|SSA|SSD|STAG|STMH|TA|TCC|TWFA|YAD
L6d29ea8c9ef9000,2017,2016,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification,outpatient,,substance_use_treatment|detoxification|outpatient_treatment|opioid_treatment_program|methadone,0,3,1,0,403,ACC|ADLT|ANG|AOSS|BIA|CBT|CM|CMHA|CMI|CSAA|DAUT|DBT|DM|DP|DT|DV|DVFP|EIH|EMP|FCO|FEM|GCO|HAEC|HEOH|HS|HV|ICO|ISC|MALE|MCO|METH|MHS|MM|MMW|MN|MO|MOTI|MXM|OMB|OP|OPC|ORT|OTP|OTPA|PEER|REBT|RELP|SA|SACA|SAE|SAF|SHG|SMHD|SMPD|SSA|SSD|STDT|TAEC|TAY|TBS|TRC|TRMA|TWFA|XA|YAD
