listing_id,directory_year,survey_year,state,state_fips,census_region,census_division,has_warning,county_fips,geocode_method,geocode_confidence,ownership,center_type,setting,payment,service_family,ownership_mask,center_type_mask,setting_mask,payment_mask,service_family_mask,service_codes
L09cabd1df7b1ef6,2018,2017,AL,01,South,East South Central,False,01067,zip_crosswalk,low,private_unspecified,substance_use,outpatient,medicare|medicaid|military_insurance|private_insurance|self_pay|state_financed|sliding_fee,substance_use_treatment|outpatient_treatment|naltrexone,1,1,1,191,1041,ACC|ACM|ADLT|AH|ANG|AOSS|BABA|CBT|CHLD|CJ|CM|CMHA|CO|CSAA|DAUT|DP|DV|FEM|FSA|GCO|GL|HAEC|HEOH|HV|ICO|ISC|MALE|MC|MCO|MD|MHS|MI|MN|MOA|MOTI|MPD|MXM|NU|NXN|OP|OPC|ORT|PI|PVT|PW|REBT|RELP|SA|SACA|SAE|SE|SF|SI|SMHD|SMPD|SS|SSA|SSD|STAG|STMH|STU|TAEC|TAY|TBS|TRC|TRMA|TWFA|VET|VTRL|WN|XA|YAD
L4cf1a8030ea43ee,2018,2017,AL,01,South,East South Central,False,01117,zip_crosswalk,low,private_unspecified,substance_use|detoxification,outpatient,medicaid|private_insurance|self_pay,substance_use_treatment|detoxification|outpatient_treatment|opioid_treatment_program|methadone|buprenorphine|naltrexone,1,3,1,26,1939,ACC|ACM|ADD|ADLT|ADM|ADTX|AH|ANG|AOSS|BABA|BDTX|BIA|BMW|BU|BUM|BWN|BWON|CARF|CBT|CDTX|CJ|CM|CMHA|CMI|CO|CSAA|DAUT|DB|DBT|DM|DP|DSF|DT|DU|DV|DVFP|EIH|EMP|FCO|FEM|GCO|GL|HAEC|HEOH|HIVT|HS|HV|ICO|ISC|MALE|MCO|MD|MDTX|METH|MF|MHS|MM|MMW|MN|MOTI|MPD|MU|MXM|NRT|NSC|NU|NXN|OD|ODTX|OIT|OMB|OP|OPC|ORT|OTP|PEER|PI|PVT|PW|REBT|RELP|RPN|SA|SACA|SAE|SE|SF|SHB|SHC|SHG|SMHD|SMPD|SP|SSA|SSD|STAG|STDT|STMH|STU|TAEC|TAY|TBS|TCC|TGD|TID|TRC|TRMA|TWFA|VET|VTRL|WN|XA|YAD
L8e23ec97c8d9b5e,2018,2017,AL,01,South,East South Central,False,01123,zip_crosswalk,low,private_unspecified,substance_use|transitional_housing,residential,self_pay,substance_use_treatment|transitional_housing|residential_treatment,1,5,2,16,37,ACC|ADLT|AH|ANG|AOSS|BABA|CBT|CM|CMI|DAUT|DP|FCO|FSA|GCO|HAEC|HH|HIVT|ICO|ISC|MALE|MN|MOA|MOTI|OPC|PEER|PVT|REBT|RELP|RES|RL|SA|SACA|SAE|SF|SHG|SMPD|SSD|STAG|STMH|TA|TBS|TCC|TWFA|YAD
La8ec688482b702c,2018,2017,AL,01,South,East South Central,False,01015,zip_crosswalk,low,private_unspecified,substance_use|transitional_housing,residential,self_pay,substance_use_treatment|transitional_housing|residential_treatment,1,5,2,16,37,ACC|ADLT|AH|ANG|BABA|BIA|CBT|CM|CMI|CSAA|DAUT|DBT|DP|EIH|EMP|FCO|FSA|GCO|HAEC|HH|ICO|ISC|MALE|MCO|MN|MOA|MOTI|OPC|PEER|PVT|REBT|RELP|RES|RL|SA|SACA|SAE|SF|SMPD|SSA|SSD|STAG|STMH|TBS|TCC|TRC|TWFA|YAD
L097f19066e64685,2018,2017,AL,01,South,East South Central,False,01015,zip_crosswalk,low,private_unspecified,substance_use,outpatient,,substance_use_treatment|outpatient_treatment|naltrexone,1,1,1,0,1041,ACC|ADLT|ANG|BABA|CBT|CM|CMI|CSAA|DAUT|DP|EIH|FCO|FEM|FSA|GCO|HAEC|HIVT|ICO|ISC|MALE|MCO|MHS|MXM|NP|NU|OIT|OP|OPC|ORT|PVT|RELP|RPN|SA|SACA|SAE|SHG|SMHD|SMPD|SSA|SSD|STAG|STMH|TA|TAEC|TWFA|UBN|VTRL|YAD
Lff795decdefcd93,2018,2017,AL,01,South,East South Central,False,01083,zip_crosswalk,low,private_unspecified,substance_use,outpatient,private_insurance|self_pay,substance_use_treatment|outpatient_treatment,1,1,1,24,17,ACC|ADLT|ANG|BIA|CBT|CM|CMI|DBT|DP|DVFP|EIH|FCO|FEM|FSA|GCO|HAEC|HEOH|ICO|MALE|MCO|MHS|MOA|MOTI|MXM|OP|ORT|PEER|PI|PVT|REBT|RELP|SA|SACA|SAE|SF|SMPD|SSD|STAG|STMH|TAEC|TCC|TRC|TWFA|YAD
L56b78a82b9df482,2018,2017,AL,01,South,East South Central,False,01055,zip_crosswalk,low,private_unspecified,substance_use,outpatient,medicaid|military_insurance|private_insurance|self_pay|sliding_fee,substance_use_treatment|outpatient_treatment,1,1,1,158,17,ACC|ADLT|AH|ANG|AOSS|BABA|BIA|CBT|CM|CMHA|CSAA|DAUT|DBT|DP|EIH|FCO|FEM|FSA|GCO|HAEC|HEOH|HIVT|ICO|ISC|MALE|MCO|MD|MHS|MI|MOA|MOTI|MPD|MXM|OIT|OP|OPC|ORT|PEER|PI|PVT|REBT|RELP|SA|SACA|SAE|SF|SMHD|SMPD|SS|SSA|SSD|STAG|STMH|TA|TAEC|TBS|TCC|TWFA|YAD
Lc2a2f57ef84230a,2018,2017,AL,01,South,East South Central,False,01055,zip_crosswalk,low,private_unspecified,substance_use,outpatient,private_insurance|self_pay,substance_use_treatment|outpatient_treatment,1,1,1,24,17,ACC|ADLT|ANG|BABA|BIA|CBT|CM|CMI|CSAA|DAUT|DBT|DP|DVFP|EMP|FCO|FEM|GCO|ICO|ISC|MALE|MCO|MOA|MOTI|MXM|OIT|OP|OPC|ORT|PEER|PI|PVT|REBT|RELP|SA|SACA|SAE|SF|SMHD|SMPD|SSA|STAG|STMH|TBS|TRC|TWFA|YAD
L43dba0db56aac46,2018,2017,AL,01,South,East South Central,False,01055,zip_crosswalk,low,private_unspecified,substance_use|transitional_housing,outpatient|residential,self_pay,substance_use_treatment|transitional_housing|outpatient_treatment|residential_treatment,1,5,3,16,53,ACC|ADLT|ANG|AOSS|BIA|CBT|CM|CSAA|DAUT|DP|DVFP|EIH|EMP|FCO|FSA|GCO|HAEC|HH|HS|ICO|ISC|MALE|MCO|MHS|MN|MOA|MOTI|MXM|OIT|OP|OPC|ORT|PEER|PVT|REBT|RELP|RES|RL|RS|SA|SACA|SAE|SF|SHG|SMPD|SSA|SSD|STAG|STMH|STU|TA|TCC|TWFA|YAD
L291a5a03801676b,2018,2017,AL,01,South,East South Central,False,01073,zip_crosswalk,low,private_unspecified,substance_use|detoxification,outpatient,medicaid|self_pay,substance_use_treatment|detoxification|outpatient_treatment|opioid_treatment_program|methadone,1,3,1,18,403,ACC|ADD|ADLT|ADM|ANG|AOSS|BABA|BIA|CARF|CBT|CJ|CM|CMHA|CMI|CO|CRV|CSAA|CT|DAUT|DBT|DM|DP|DT|DU|DV|DVFP|EIH|EMP|FCO|FEM|GCO|GL|HAEC|HEOH|HS|HV|ICO|ISC|MALE|MCO|MD|METH|MF|MHS|MM|MN|MOTI|MU|MXM|OD|ODTX|OIT|OMB|OP|OPC|ORT|OTP|PEER|PVT|PW|REBT|RELP|SA|SACA|SAE|SE|SF|SHB|SHC|SHG|SMHD|SMPD|SSA|SSD|STAG|STDT|STMH|STU|TAEC|TAY|TBS|TCC|TRC|TRMA|TWFA|VET|WN|XA|YAD
L4c79f3f2291cd1e,2018,2017,AL,01,South,East South Central,False,01073,zip_crosswalk,low,private_unspecified,substance_use,residential,medicaid|self_pay|payment_assistance|sliding_fee,substance_use_treatment|residential_treatment,1,1,2,210,33,ACC|ADLT|ANG|BABA|BIA|CBT|CSAA|DAUT|DP|EIH|FCO|FEM|FSA|GCO|HAEC|HIVT|HS|ICO|ISC|MALE|MCO|MD|MOA|MOTI|MPD|OPC|PA|PEER|PVT|RELP|RES|RS|SA|SACA|SAE|SF|SHB|SHC|SHG|SMHD|SMPD|SS|SSA|STAG|STDH|STDT|STMH|TA|TBS|TRC|TWFA|YAD
L36ee51837de02f6,2018,2017,AL,01,South,East South Central,False,01073,zip_crosswalk,low,private_unspecified,substance_use,outpatient|residential,medicaid|private_insurance|self_pay|payment_assistance,substance_use_treatment|outpatient_treatment|residential_treatment,1,1,3,90,49,ACC|ADLT|AH|ANG|AOSS|BABA|BIA|CBT|CCC|CJ|CM|CMI|CO|CSAA|DAUT|DBT|DP|EIH|EMP|FCO|FEM|FSA|GCO|HAEC|HIVT|HS|HV|ICO|ISC|MALE|MCO|MD|MHS|MN|MOA|MOTI|MXM|OIT|OP|OPC|ORT|PA|PEER|PI|PVT|PW|REBT|RELP|RES|RL|SA|SACA|SAE|SF|SMHD|SMPD|SSA|SSD|STAG|STDH|STMH|STU|TA|TBS|TCC|TRC|TRMA|TWFA|XA|YAD
L2d6398cc5438f60,2018,2017,AL,01,South,East South Central,False,01073,zip_crosswalk,low,private_unspecified,substance_use|detoxification,outpatient,medicaid|self_pay,substance_use_treatment|detoxification|outpatient_treatment|opioid_treatment_program|methadone|buprenorphine,1,3,1,18,915,ACC|ADLT|ANG|AOSS|BABA|BIA|BU|BUM|BWON|CARF|CBT|CM|CMI|CSAA|DAUT|DBT|DP|DT|FCO|FEM|GCO|HAEC|HEOH|HS|ICO|MALE|MD|METH|MHS|MM|MOTI|MU|MXM|OD|ODTX|OMB|OP|OPC|OTP|PEER|PVT|REBT|RELP|SA|SACA|SAE|SF|SMPD|SSA|SSD|STAG|STDT|STMH|TA|TAEC|TBS|TRC|TWFA|YAD
L5442196ad002c7d,2018,2017,AL,01,South,East South Central,False,01073,zip_crosswalk,low,private_unspecified,substance_use,outpatient,private_insurance|self_pay|state_financed,substance_use_treatment|outpatient_treatment|naltrexone,1,1,1,56,1041,ACC|AD|ADLT|ANG|BABA|BIA|CHLD|CMI|CRV|CSAA|CT|DAUT|DBT|DP|FCO|FEM|GCO|ICO|JC|MALE|MCO|MOA|MOTI|MXM|NU|NXN|OIT|OMB|OP|OPC|PI|PVT|REBT|RELP|SA|SACA|SAE|SF|SHG|SI|SMPD|SSA|STMH|TRC|TWFA|VTRL
L5906aee27f1c810,2018,2017,AL,01,South,East South Central,False,01073,zip_crosswalk,low,federal_va,substance_use|detoxification|transitional_housing,outpatient,military_insurance|private_insurance,substance_use_treatment|detoxification|transitional_housing|outpatient_treatment|buprenorphine|naltrexone,256,7,1,12,1559,ACC|ACM|ACU|ADLT|ADTX|AH|ANG|AOSS|BABA|BDTX|BIA|BU|BUM|BWN|CARF|CBT|CDTX|CM|CMHA|CMI|CSAA|DAUT|DP|DSF|DT|DVFP|EIH|EMP|F17|FCO|FEM|FSA|FX|GCO|GH|HAEC|HEOH|HH|HIVT|HS|ICO|ISC|JC|MALE|MCO|MDTX|MHS|MI|MOTI|MPD|NRT|NSC|NU|NXN|OD|ODTX|OIT|OMB|OP|OPC|ORT|PEER|PI|RELP|RPN|SA|SACA|SAE|SHB|SHC|SMHD|SMPD|SP|SSA|SSD|STDT|STU|TA|TAEC|TBS|TCC|TRC|TWFA|UBN|VAMC|VET|VTRL|YAD
Le7474aeab2757e2,2018,2017,AL,01,South,East South Central,False,01073,zip_crosswalk,low,private_unspecified,substance_use|transitional_housing,outpatient|residential,self_pay|payment_assistance|sliding_fee,substance_use_treatment|transitional_housing|outpatient_treatment|residential_treatment|naltrexone,1,5,3,208,1077,ACC|ADLT|AH|ANG|AOSS|BABA|CBT|CM|CMI|CO|CSAA|DAUT|DP|EIH|EMP|FCO|FEM|FSA|GCO|HAEC|HEOH|HH|HIVT|HS|ICO|ISC|MALE|MCO|MN|MOA|MOTI|NXN|OP|OPC|ORT|PA|PEER|PVT|RELP|RES|RL|SA|SACA|SAE|SF|SHG|SMHD|SMPD|SS|SSA|SSD|STAG|STDH|STMH|TBS|TWFA|VET|WN|YAD
L82b39e3f1221fa8,2018,2017,AL,01,South,East South Central,False,01073,zip_crosswalk,low,private_unspecified,substance_use|detoxification,outpatient,medicaid|self_pay,substance_use_treatment|detoxification|outpatient_treatment|opioid_treatment_program|methadone|buprenorphine,1,3,1,18,915,ACC|ADLT|AOSS|BABA|BIA|BMO|BMW|BU|BUM|BWN|BWON|CARF|CBT|CM|CSAA|DAUT|DB|DM|DP|DT|EMP|FCO|FEM|GCO|HAEC|HEOH|HS|ICO|ISC|MALE|MCO|MD|METH|MM|MMW|MOTI|MU|OD|ODTX|OMB|OP|OPC|ORT|OTP|OTPA|PEER|PVT|REBT|RELP|SA|SACA|SAE|SF|SHG|SMPD|SSA|SSD|STAG|TBS|TCC|YAD
Lb52d1eaddf122d9,2018,2017,AL,01,South,East South Central,False,01073,zip_crosswalk,low,private_unspecified,substance_use,outpatient,medicaid|self_pay|payment_assistance,substance_use_treatment|outpatient_treatment,1,1,1,82,17,ACC|AD|ADD|ADLT|ADM|AH|ANG|AOSS|BIA|CARF|CBT|CCC|CHLD|CJ|CM|CMHA|CMI|CO|CRV|CSAA|DAUT|DBT|DP|DSF|DV|DVFP|EIH|EMP|FCO|FEM|FSA|GCO|GL|HAEC|HEOH|HIVT|HS|HV|ICO|ISC|MALE|MCO|MD|MF|MHS|MN|MOA|MOTI|MXM|NSC|ODT|OIT|OP|OPC|ORT|PA|PEER|PVT|PW|REBT|RELP|SA|SACA|SAE|SE|SF|SHG|SMHD|SMPD|SSA|SSD|STAG|STMH|TA|TAY|TBS|TCC|TRC|TRMA|TWFA|VET|WN|XA
Lc26faf8da294d9c,2018,2017,AL,01,South,East South Central,False,01073,zip_crosswalk,low,private_unspecified,substance_use,outpatient,medicaid|self_pay|sliding_fee,substance_use_treatment|outpatient_treatment,1,1,1,146,17,ACC|ADLT|BIA|CBT|CJ|CO|CSAA|CT|DP|EMP|FEM|FSA|GCO|GL|HAEC|HEOH|ICO|ISC|MALE|MD|MF|MHS|MN|MOTI|NMOA|OIT|OP|PVT|PW|RELP|SA|SACA|SAE|SE|SF|SMPD|SS|SSA|SSD|STAG|STMH|STU|TAEC|TAY|TRMA|TWFA|VET|WN|YAD
