listing_id,directory_year,survey_year,state,state_fips,census_region,census_division,has_warning,county_fips,geocode_method,geocode_confidence,ownership,center_type,setting,payment,service_family,ownership_mask,center_type_mask,setting_mask,payment_mask,service_family_mask,service_codes
L5efb78262a4ef20,2010,2009,AL,01,South,East South Central,False,01067,zip_crosswalk,low,,substance_use,outpatient,medicaid|military_insurance|private_insurance|self_pay|state_financed,substance_use_treatment|outpatient_treatment,0,1,1,62,17,AH|MD|MI|OP|PI|SA|SF|SI|TX
L21269ec7e6be6c9,2010,2009,AL,01,South,East South Central,False,01117,zip_crosswalk,low,,substance_use,outpatient,private_insurance|self_pay|state_financed,substance_use_treatment|outpatient_treatment|methadone|buprenorphine,0,1,1,56,785,AH|BU|CJ|CO|DM|DU|GL|HV|MM|MN|OP|PH|PI|PW|SA|SE|SF|SI|SP|TX|WN
Lf6efd5a1a97dc2c,2010,2009,AL,01,South,East South Central,False,01123,zip_crosswalk,low,,substance_use|transitional_housing,residential,self_pay,substance_use_treatment|transitional_housing|residential_treatment,0,5,2,16,37,AH|HH|MN|RL|SA|SF|TX
L403555cdac63349,2010,2009,AL,01,South,East South Central,False,01015,zip_crosswalk,low,,substance_use|transitional_housing,residential,self_pay,substance_use_treatment|transitional_housing|residential_treatment,0,5,2,16,37,HH|MN|RL|SA|SF|TX
Lb5734898881ccf2,2010,2009,AL,01,South,East South Central,False,01015,zip_crosswalk,low,,substance_use,outpatient,private_insurance|self_pay,substance_use_treatment|outpatient_treatment,0,1,1,24,17,AD|OP|PI|SA|SF|TX
L2156e50c456e72b,2010,2009,AL,01,South,East South Central,False,01015,zip_crosswalk,low,,substance_use,outpatient,medicaid|military_insurance|private_insurance|self_pay|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,158,17,AD|AH|CO|DU|MD|MH-SA|MI|OP|PH|PI|SF|SS|TX
L013514f2481aeae,2010,2009,AL,01,South,East South Central,False,01115,zip_crosswalk,low,,substance_use,outpatient,medicaid|military_insurance|private_insurance|self_pay|state_financed|payment_assistance|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,254,17,AD|AH|MD|MI|OP|PA|PI|SA|SF|SI|SS|TX
Leac17caf92a9804,2010,2009,AL,01,South,East South Central,False,01055,zip_crosswalk,low,,substance_use|transitional_housing,residential,self_pay,substance_use_treatment|transitional_housing|residential_treatment,0,5,2,16,37,CJ|HH|MN|RL|RS|SA|SF|TX
L0f2e266e3682eaa,2010,2009,AL,01,South,East South Central,True,01055,zip_crosswalk,low,,substance_use,outpatient,self_pay,substance_use_treatment|outpatient_treatment,0,1,1,16,17,CJ|OP|SA|SF|TX
L2070384f13fb219,2010,2009,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,private_insurance|self_pay|state_financed,substance_use_treatment|outpatient_treatment,0,1,1,56,17,AH|OP|PI|SA|SF|SI|SP|TX
L855732322506824,2010,2009,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification,outpatient,self_pay,substance_use_treatment|detoxification|outpatient_treatment|methadone,0,3,1,16,275,DM|DT|MM|OP|PW|SA|SF|TX
L096584f3d206915,2010,2009,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification,residential,medicaid|self_pay|payment_assistance|sliding_fee,substance_use_treatment|detoxification|residential_treatment|buprenorphine,0,3,2,210,547,AH|BU|DT|MD|PA|RS|SA|SF|SS|TX
L3eb88ee840d7955,2010,2009,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,medicare|medicaid|self_pay,substance_use_treatment|outpatient_treatment,0,1,1,19,17,AH|MC|MD|MN|OP|SA|SF|TX
L106c836ec100d31,2010,2009,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,residential,self_pay|payment_assistance,substance_use_treatment|residential_treatment,0,1,2,80,33,PA|PW|RL|SA|SF|TX|WN
L03e0d90e607bb1c,2010,2009,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,medicare|medicaid|private_insurance|payment_assistance,substance_use_treatment|outpatient_treatment,0,1,1,75,17,MC|MD|MH-SA|OP|PA|PI|TX
Lf4181becea25b33,2010,2009,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification,outpatient,self_pay,substance_use_treatment|detoxification|outpatient_treatment|methadone|buprenorphine,0,3,1,16,787,BU|DM|DT|MM|OP|SA|SF|TX
L5cf21e429168f17,2010,2009,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,private_insurance|self_pay|state_financed,substance_use_treatment|outpatient_treatment,0,1,1,56,17,AD|OP|PI|SA|SF|SI|TX
L9a44fa173513cf2,2010,2009,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification,outpatient,military_insurance|private_insurance|self_pay,substance_use_treatment|detoxification|outpatient_treatment|buprenorphine,0,3,1,28,531,AH|BU|CO|DT|GH|HV|MI|OP|PI|SF|TX
