listing_id,directory_year,survey_year,state,state_fips,census_region,census_division,has_warning,county_fips,geocode_method,geocode_confidence,ownership,center_type,setting,payment,service_family,ownership_mask,center_type_mask,setting_mask,payment_mask,service_family_mask,service_codes
L553cf3e8d8516fa,2011,2010,AL,01,South,East South Central,False,01067,zip_crosswalk,low,,substance_use,outpatient,medicaid|military_insurance|private_insurance|self_pay|state_financed,substance_use_treatment|outpatient_treatment,0,1,1,62,17,AH|MD|MI|OP|PI|SA|SF|SI|TX
Lf8f82589c2a2b71,2011,2010,AL,01,South,East South Central,False,01117,zip_crosswalk,low,,substance_use,outpatient,medicaid|private_insurance|self_pay,substance_use_treatment|outpatient_treatment|methadone|buprenorphine,0,1,1,26,785,AH|BU|CJ|CO|DU|GL|HV|MD|MM|MN|OP|PH|PI|PW|SA|SE|SF|SP|TX|WN
L332b56c6b54faa5,2011,2010,AL,01,South,East South Central,False,01123,zip_crosswalk,low,,substance_use|transitional_housing,residential,self_pay,substance_use_treatment|transitional_housing|residential_treatment,0,5,2,16,37,HH|MN|RL|SA|SF|TX
Lc44acaef3808094,2011,2010,AL,01,South,East South Central,False,01015,zip_crosswalk,low,,substance_use|transitional_housing,residential,self_pay,substance_use_treatment|transitional_housing|residential_treatment,0,5,2,16,37,HH|MN|RL|SA|SF|TX
L4f36462d5b970e0,2011,2010,AL,01,South,East South Central,False,01015,zip_crosswalk,low,,substance_use,outpatient,private_insurance|self_pay,substance_use_treatment|outpatient_treatment,0,1,1,24,17,AD|OP|PI|SA|SF|TX
Lc69d3e66e934d63,2011,2010,AL,01,South,East South Central,False,01115,zip_crosswalk,low,,substance_use,outpatient,medicaid|military_insurance|private_insurance|self_pay|state_financed|payment_assistance|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,254,17,AD|AH|MD|MI|OP|PA|PI|SA|SF|SI|SS|TX
Lf8c0780f633b8a4,2011,2010,AL,01,South,East South Central,False,01055,zip_crosswalk,low,,substance_use,outpatient,medicaid|military_insurance|private_insurance|self_pay|payment_assistance|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,222,17,MD|MH-SA|MI|OP|PA|PI|SF|SS|TX
L4a10e556f03ddce,2011,2010,AL,01,South,East South Central,False,01055,zip_crosswalk,low,,substance_use|detoxification|transitional_housing,residential,self_pay,substance_use_treatment|detoxification|transitional_housing|residential_treatment,0,7,2,16,39,DT|HH|MN|RL|RS|SA|SF|TX
L2dec9781417eb64,2011,2010,AL,01,South,East South Central,False,01055,zip_crosswalk,low,,substance_use,outpatient,self_pay,substance_use_treatment|outpatient_treatment,0,1,1,16,17,CJ|OP|SA|SF|TX
L887526915c899b8,2011,2010,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,private_insurance|self_pay,substance_use_treatment|outpatient_treatment,0,1,1,24,17,AH|OP|PI|SA|SF|SP|TX
Ld5b500db3aef857,2011,2010,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification,outpatient,self_pay,substance_use_treatment|detoxification|outpatient_treatment|methadone,0,3,1,16,275,DT|MM|OP|SA|SF|TX
