listing_id,directory_year,survey_year,state,state_fips,census_region,census_division,has_warning,county_fips,geocode_method,geocode_confidence,ownership,center_type,setting,payment,service_family,ownership_mask,center_type_mask,setting_mask,payment_mask,service_family_mask,service_codes
Le5486d6b1cacbd8,2013,2012,AL,01,South,East South Central,False,01067,zip_crosswalk,low,,substance_use,outpatient,medicaid|military_insurance|private_insurance|self_pay|state_financed|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,190,17,AH|MD|MI|OP|PI|SA|SF|SI|SS|TX
Lce94a08b74322f4,2013,2012,AL,01,South,East South Central,False,01117,zip_crosswalk,low,,substance_use,outpatient,medicaid|self_pay,substance_use_treatment|outpatient_treatment|methadone|buprenorphine,0,1,1,18,785,AH|BU|CJ|CO|DM|DU|GL|HV|MD|MM|MN|OP|PH|PW|SA|SE|SF|SP|TX|WN
L2be5001e6942465,2013,2012,AL,01,South,East South Central,False,01123,zip_crosswalk,low,,substance_use|transitional_housing,residential,medicaid|self_pay,substance_use_treatment|transitional_housing|residential_treatment,0,5,2,18,37,HH|MD|MN|RL|SA|SF|TX
Le62f3ca2519a5c9,2013,2012,AL,01,South,East South Central,False,01015,zip_crosswalk,low,,substance_use|transitional_housing,residential,self_pay,substance_use_treatment|transitional_housing|residential_treatment,0,5,2,16,37,HH|MN|RL|SA|SF|TX
Lf6ad06a2e9e0380,2013,2012,AL,01,South,East South Central,False,01015,zip_crosswalk,low,,substance_use,outpatient,,substance_use_treatment|outpatient_treatment,0,1,1,0,17,CJ|OP|SA|TX
Lf569fef3b03995f,2013,2012,AL,01,South,East South Central,False,01115,zip_crosswalk,low,,substance_use,outpatient,medicaid|military_insurance|private_insurance|self_pay|state_financed|payment_assistance|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,254,17,AD|AH|CJ|CO|MD|MI|OP|PA|PI|SA|SF|SI|SS|TX
L5b3a71d2bf66050,2013,2012,AL,01,South,East South Central,False,01083,zip_crosswalk,low,,substance_use,outpatient,self_pay|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,144,17,MH-SA|OP|SF|SS|TX
Lebd823d81bcbf07,2013,2012,AL,01,South,East South Central,False,01055,zip_crosswalk,low,,substance_use,outpatient,medicaid|military_insurance|private_insurance|self_pay|payment_assistance|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,222,17,AH|MD|MH-SA|MI|OP|PA|PI|SF|SS|TX
L89064fefdb13702,2013,2012,AL,01,South,East South Central,False,01055,zip_crosswalk,low,,substance_use|detoxification|transitional_housing,residential,self_pay,substance_use_treatment|detoxification|transitional_housing|residential_treatment,0,7,2,16,39,DT|HH|MN|RL|RS|SF|TX
L838b9930cc8ae82,2013,2012,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,self_pay,substance_use_treatment|outpatient_treatment,0,1,1,16,17,DU|OP|SA|SF|SP|TX
Lb5f7af900888447,2013,2012,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification,outpatient,medicaid|self_pay,substance_use_treatment|detoxification|outpatient_treatment|methadone,0,3,1,18,275,DT|MD|MM|OP|SA|SF|TX
L4f2a5c0d9be293d,2013,2012,AL,01,South,East South Central,True,01073,zip_crosswalk,low,,substance_use|transitional_housing,outpatient,medicaid|self_pay|payment_assistance,substance_use_treatment|transitional_housing|outpatient_treatment,0,5,1,82,21,AH|HH|HV|MD|MH-SA|OP|PA|SF|TX
L59d1f36ca0a5d9e,2013,2012,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification,residential,self_pay|payment_assistance|sliding_fee,substance_use_treatment|detoxification|residential_treatment,0,3,2,208,35,AH|DT|PA|RS|SA|SF|SS|TX
L9e97aedef6d6092,2013,2012,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,medicare|medicaid|self_pay|payment_assistance,substance_use_treatment|outpatient_treatment,0,1,1,83,17,AH|CJ|MC|MD|MN|OP|PA|PH|SA|SF|TX
L2367e59cabf4990,2013,2012,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,residential,medicaid|payment_assistance,substance_use_treatment|residential_treatment,0,1,2,66,33,BC|MD|PA|PW|RL|SA|TX|WN
L76be27bc61c09c4,2013,2012,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification,outpatient,medicaid|self_pay,substance_use_treatment|detoxification|outpatient_treatment|methadone|buprenorphine,0,3,1,18,787,BU|DM|DT|MD|MM|OP|PW|SA|SF|TX
Lc34045b4a7309d9,2013,2012,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,private_insurance|self_pay|state_financed,substance_use_treatment|outpatient_treatment,0,1,1,56,17,AD|OP|PI|SA|SF|SI|TX
L8fd04ac5a5a0d92,2013,2012,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification|transitional_housing,outpatient,military_insurance|private_insurance|self_pay,substance_use_treatment|detoxification|transitional_housing|outpatient_treatment|buprenorphine,0,7,1,28,535,AH|BU|CJ|CO|DT|HH|MH-SA|MI|OP|PI|SF|TX
L8073124d1b8792e,2013,2012,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient|residential,self_pay|sliding_fee,substance_use_treatment|outpatient_treatment|residential_treatment,0,1,3,144,49,AH|CO|OP|RL|SA|SF|SS|TX
L610079b2c01ccfb,2013,2012,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,medicaid|self_pay,substance_use_treatment|outpatient_treatment,0,1,1,18,17,MD|OP|SF|TX
Lfec6173b4ec24b0,2013,2012,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|transitional_housing,residential,payment_assistance,substance_use_treatment|transitional_housing|residential_treatment,0,5,2,64,37,AH|BC|CJ|GL|HH|HV|MH-SA|PA|PW|RL|SE|TX|WN
L28386faf4ac8f06,2013,2012,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|transitional_housing,residential,self_pay,substance_use_treatment|transitional_housing|residential_treatment,0,5,2,16,37,HH|RL|SA|SF|TX|WN
Le763781a6f9289c,2013,2012,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use|detoxification,outpatient,medicaid|self_pay,substance_use_treatment|detoxification|outpatient_treatment|methadone|buprenorphine,0,3,1,18,787,BU|DM|DT|MD|MM|MN|OP|PW|SA|SF|TX|WN
L0d98ae15c92745c,2013,2012,AL,01,South,East South Central,False,,,,,substance_use|detoxification,outpatient|hospital_inpatient,military_insurance|private_insurance|self_pay,substance_use_treatment|detoxification|outpatient_treatment|hospital_inpatient|buprenorphine,0,3,5,28,595,BU|DT|HI|MH-SA|MI|OP|PH|PI|SF|TX
L1fa54c0b679e4cc,2013,2012,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,medicaid|self_pay|state_financed|sliding_fee,substance_use_treatment|outpatient_treatment|buprenorphine,0,1,1,178,529,AD|BU|MD|MN|OP|PH|SA|SF|SI|SS|TX|WN
Lf748784f4e99221,2013,2012,AL,01,South,East South Central,False,01073,zip_crosswalk,low,,substance_use,outpatient,medicaid|self_pay|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,146,17,MD|OP|SA|SF|SS|TX
L3121b9f112d1d07,2013,2012,AL,01,South,East South Central,False,01095,zip_crosswalk,low,,substance_use,outpatient,private_insurance|self_pay,substance_use_treatment|outpatient_treatment,0,1,1,24,17,OP|PI|SA|SF|TX
L94381511dc03afa,2013,2012,AL,01,South,East South Central,False,01007,zip_crosswalk,low,,substance_use,outpatient,medicaid|private_insurance|self_pay|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,154,17,AH|MD|MH-SA|OP|PI|SF|SS|TX
L50db16caa8400e2,2013,2012,AL,01,South,East South Central,False,01107,zip_crosswalk,low,,substance_use,outpatient,medicaid|private_insurance|self_pay|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,154,17,AH|MD|MH-SA|OP|PI|SF|SS|TX
L6b5c69f01a13a47,2013,2012,AL,01,South,East South Central,False,01043,zip_crosswalk,low,,substance_use,outpatient,medicaid|military_insurance|private_insurance|self_pay|state_financed|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,190,17,AD|AH|CJ|CO|MD|MI|OP|PI|SA|SF|SI|SS|TX
L9f37ea83213d547,2013,2012,AL,01,South,East South Central,False,,,,,substance_use,outpatient,self_pay,substance_use_treatment|outpatient_treatment|methadone,0,1,1,16,273,AH|CJ|CO|DM|GL|HV|MM|MN|OP|PW|SA|SE|SF|TX|WN
Lc1b8e5f96a15129,2013,2012,AL,01,South,East South Central,False,01043,zip_crosswalk,low,federal_ihs,substance_use|transitional_housing,residential,self_pay,substance_use_treatment|transitional_housing|residential_treatment,256,5,2,16,37,BC|CJ|HH|HV|IH|MN|RL|SF|TX
L0e9aecfd30ac126,2013,2012,AL,01,South,East South Central,False,01003,zip_crosswalk,low,,substance_use,outpatient|residential,self_pay|sliding_fee,substance_use_treatment|outpatient_treatment|residential_treatment,0,1,3,144,49,MN|OP|RL|SA|SF|SS|TX
L1778c086e67a8f8,2013,2012,AL,01,South,East South Central,False,01103,zip_crosswalk,low,,substance_use,outpatient,medicare|medicaid|private_insurance|self_pay|state_financed|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,187,17,AH|MC|MD|OP|PI|PW|SA|SF|SI|SS|TX|WN
L91ac6b57057a52f,2013,2012,AL,01,South,East South Central,False,01091,zip_crosswalk,low,,detoxification,hospital_inpatient,medicare|medicaid|military_insurance|private_insurance|self_pay|state_financed|payment_assistance,detoxification|hospital_inpatient,0,2,4,127,66,CO|DT|GH|HI|MC|MD|MI|PA|PI|SF|SI
L0ebc9def99f8b0a,2013,2012,AL,01,South,East South Central,False,01091,zip_crosswalk,low,,substance_use|mental_health,outpatient,medicare|medicaid|private_insurance|self_pay|state_financed|payment_assistance|sliding_fee,substance_use_treatment|outpatient_treatment,0,9,1,251,17,AH|CJ|CO|DU|MC|MD|MH|OP|PA|PI|SF|SI|SS|TX
L447387485a89abe,2013,2012,AL,01,South,East South Central,False,01069,zip_crosswalk,low,,substance_use,outpatient,private_insurance|self_pay|state_financed,substance_use_treatment|outpatient_treatment,0,1,1,56,17,AD|OP|PH|PI|SA|SF|SI|TX
L827c42720c4a2f9,2013,2012,AL,01,South,East South Central,False,01069,zip_crosswalk,low,,substance_use|transitional_housing,residential,self_pay,substance_use_treatment|transitional_housing|residential_treatment,0,5,2,16,37,CJ|CO|HH|MN|RL|SA|SF|TX|WN
Lbfd04a87ec4f61f,2013,2012,AL,01,South,East South Central,False,01069,zip_crosswalk,low,,substance_use,residential,military_insurance|private_insurance|self_pay,substance_use_treatment|residential_treatment,0,1,2,28,33,MI|PI|RS|SA|SF|TX
Lc8197a3f05454eb,2013,2012,AL,01,South,East South Central,False,01077,zip_crosswalk,low,,substance_use,outpatient,private_insurance|self_pay|state_financed,substance_use_treatment|outpatient_treatment,0,1,1,56,17,AD|OP|PI|SA|SF|SI|TX
Le89dc55b4102336,2013,2012,AL,01,South,East South Central,False,01077,zip_crosswalk,low,,substance_use,outpatient,medicare|medicaid|military_insurance|private_insurance|self_pay|state_financed,substance_use_treatment|outpatient_treatment,0,1,1,63,17,AD|AH|CO|MC|MD|MH-SA|MI|OP|PH|PI|SF|SI|TX
L44037b72163491b,2013,2012,AL,01,South,East South Central,False,01049,zip_crosswalk,low,,substance_use,outpatient,medicaid|military_insurance|private_insurance|self_pay|state_financed|payment_assistance|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,254,17,AH|MD|MI|OP|PA|PI|SA|SF|SI|SS|TX
L995787829df925b,2013,2012,AL,01,South,East South Central,False,01049,zip_crosswalk,low,,substance_use,outpatient,self_pay|sliding_fee,substance_use_treatment|outpatient_treatment,0,1,1,144,17,MH-SA|OP|SF|SS|TX
L4fb11019a82ddf6,2013,2012,AL,01,South,East South Central,True,01045,zip_crosswalk,low,,substance_use,outpatient,,substance_use_treatment|outpatient_treatment,0,1,1,0,17,OP|SA|TX
La38b787701d2bf5,2013,2012,AL,01,South,East South Central,False,01055,zip_crosswalk,low,,substance_use,residential,medicaid|military_insurance|private_insurance|self_pay|state_financed|payment_assistance|sliding_fee,substance_use_treatment|residential_treatment,0,1,2,254,33,AD|AH|BC|MD|MI|PA|PI|RS|SA|SF|SI|SS|TX
L75165ea8bf4304c,2013,2012,AL,01,South,East South Central,False,01055,zip_crosswalk,low,,substance_use|transitional_housing,residential,self_pay|payment_assistance|sliding_fee,substance_use_treatment|transitional_housing|residential_treatment,0,5,2,208,37,CJ|CO|HH|MN|PA|RL|SA|SF|SS|TX
L988ca835bebfb13,2013,2012,AL,01,South,East South Central,False,01055,zip_crosswalk,low,,substance_use,outpatient,private_insurance|self_pay,substance_use_treatment|outpatient_treatment|methadone,0,1,1,24,273,DM|HV|MM|OP|PI|PW|SA|SF|TX|WN
Lbc818f164370767,2013,2012,AL,01,South,East South Central,False,01055,zip_crosswalk,low,,substance_use,outpatient,payment_assistance,substance_use_treatment|outpatient_treatment|buprenorphine,0,1,1,64,529,BU|CJ|GH|GL|HV|OP|PA|SP|TX
Lf0ea83e0cb735f4,2013,2012,AL,01,South,East South Central,False,01055,zip_crosswalk,low,,substance_use|detoxification|mental_health,outpatient|hospital_inpatient,medicare|medicaid|military_insurance|private_insurance|self_pay|state_financed,substance_use_treatment|detoxification|outpatient_treatment|hospital_inpatient|buprenorphine,0,11,5,63,595,BU|CO|DT|HI|MC|MD|MH|MI|OP|PH|PI|SF|SI|TX
